,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.43,0.93,0.58,0.96,1.08,0.82,0.27,0.28,0.2,0.19,0.2,0.24,0.14,0.28,0.2,0.14
d_1,1.1,0.41,0.96,0.95,0.84,0.79,0.23,0.16,0.26,0.18,0.17,0.17,0.12,0.16,0.16,0.09
f_1,0.98,0.88,0.41,0.95,0.86,0.75,0.21,0.31,0.22,0.19,0.18,0.27,0.1,0.18,0.18,0.14
c_1,0.82,1.29,0.99,0.39,1.03,0.85,0.28,0.29,0.13,0.25,0.19,0.19,0.14,0.18,0.19,0.13
b_1,0.99,1.14,1.29,0.63,0.37,1.13,0.3,0.3,0.21,0.31,0.31,0.23,0.17,0.21,0.19,0.16
a_1,1.38,1.24,1.55,1.12,0.64,0.33,0.38,0.37,0.28,0.29,0.38,0.25,0.17,0.23,0.4,0.19
h_1,1.78,1.69,1.85,1.88,1.61,1.56,0.28,0.48,0.41,0.37,0.39,0.4,0.31,0.35,0.34,0.23
g_1,1.74,1.73,2.05,1.84,1.79,1.71,0.47,0.28,0.41,0.38,0.39,0.35,0.21,0.33,0.36,0.29
d_0,1.26,3.02,1.88,1.93,1.9,1.96,0.67,0.67,0.3,0.49,0.41,0.4,0.29,0.4,0.42,0.31
c_0,2.09,1.26,2.23,2.82,1.97,1.8,0.64,0.51,0.64,0.29,0.42,0.43,0.3,0.42,0.42,0.29
b_0,2.29,1.61,2.01,2.94,2.48,1.84,0.65,0.58,0.58,0.27,0.28,0.46,0.28,0.4,0.36,0.31
f_0,1.83,2.09,2.94,2.08,2.04,2.07,0.62,0.39,0.45,0.46,0.48,0.28,0.32,0.45,0.37,0.21
h_0,2.41,2.4,2.92,2.35,2.38,2.02,0.84,0.68,0.51,0.46,0.5,0.47,0.48,0.43,0.4,0.29
e_0,2.78,2.48,3.79,2.58,2.41,2.13,0.72,0.58,0.54,0.53,0.56,0.31,0.32,0.28,0.48,0.27
a_0,2.49,2.25,2.67,3.45,3.17,3.05,0.8,0.78,0.71,0.4,0.3,0.52,0.35,0.47,0.26,0.36
g_0,2.76,2.77,3.06,3.2,2.58,2.59,0.63,0.87,0.63,0.6,0.59,0.52,0.32,0.51,0.45,0.49
