,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.83,0.93,1.21,1.01,0.89,1.07,1.32,0.98,0.99,1.12,1.26,1.16,1.03,1.3,1.13
f_1,1.2,1.0,0.98,0.99,0.92,0.89,0.88,1.0,0.9,1.06,0.94,0.98,0.81,1.03,1.07,0.75
d_1,1.06,1.03,1.0,0.9,0.93,1.0,1.03,0.92,1.3,0.9,1.01,0.99,1.02,0.99,0.82,1.09
c_1,0.84,1.02,1.14,1.0,1.43,0.88,0.99,0.73,0.86,0.95,0.79,0.91,0.96,1.01,0.97,1.02
b_1,0.98,1.08,1.08,0.7,1.0,1.51,0.99,0.99,1.13,1.07,1.01,0.86,1.08,0.79,0.96,0.95
a_1,1.1,1.12,1.0,1.12,0.67,1.0,1.08,1.03,0.89,1.2,1.14,0.94,1.01,0.98,1.1,0.93
h_1,0.94,1.15,0.98,0.99,1.04,0.93,1.0,1.01,0.82,1.12,0.98,0.95,1.06,0.86,1.2,0.97
d_0,0.76,0.99,1.01,1.38,1.04,0.94,1.0,1.0,0.85,1.01,1.04,1.07,1.0,0.94,1.04,1.06
c_0,1.03,1.1,0.75,1.15,0.88,1.07,1.22,1.18,1.0,0.95,1.35,1.08,1.14,1.18,1.01,1.0
g_1,0.98,0.97,1.13,1.06,0.94,0.89,0.87,1.03,1.06,1.0,0.99,1.26,0.86,1.03,0.93,1.09
b_0,0.89,1.1,0.98,1.21,1.01,0.84,1.09,0.94,0.75,1.03,1.0,0.98,1.01,1.39,0.98,1.12
f_0,0.77,1.03,1.0,1.05,1.19,1.08,1.05,0.99,0.98,0.81,0.97,1.0,1.12,1.02,0.75,1.4
h_0,0.9,1.17,0.97,1.06,0.93,0.95,0.95,1.02,0.91,1.12,1.07,0.88,1.01,0.93,1.11,0.94
a_0,0.99,0.99,1.0,1.0,1.3,1.01,1.14,1.07,0.87,0.95,0.73,0.97,1.05,1.0,0.93,1.0
g_0,0.83,0.94,1.21,1.0,1.07,0.88,0.85,0.92,1.0,1.13,1.07,1.26,0.92,1.09,1.01,1.31
e_0,0.94,1.3,0.89,0.97,1.06,1.01,1.03,0.98,0.97,0.94,0.91,0.73,1.06,1.0,0.76,1.0
