,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.4,0.85,0.98,0.78,1.09,0.65,0.51,0.52,0.24,0.46,0.43,0.37,0.36,0.38,0.34,0.32
f_1,0.89,0.4,0.84,0.99,0.79,0.77,0.36,0.55,0.39,0.37,0.53,0.35,0.27,0.29,0.36,0.38
d_1,0.95,0.8,0.4,0.98,0.95,0.91,0.46,0.33,0.64,0.41,0.34,0.4,0.34,0.42,0.33,0.23
e_1,0.93,0.58,0.99,0.39,0.89,1.02,0.49,0.51,0.47,0.41,0.45,0.39,0.38,0.94,0.43,0.39
b_1,0.52,1.06,0.9,0.85,0.38,1.19,0.6,0.52,0.46,0.49,0.39,0.69,0.34,0.37,0.45,0.33
a_1,1.26,1.19,0.94,0.85,0.46,0.3,0.42,0.58,0.44,0.43,0.36,0.49,0.34,0.48,0.61,0.41
h_1,0.77,0.84,0.7,0.87,0.72,0.79,0.25,0.42,0.41,0.36,0.34,0.36,0.4,0.28,0.33,0.36
g_1,0.77,0.79,0.84,0.76,0.9,0.66,0.36,0.23,0.36,0.33,0.44,0.32,0.22,0.37,0.39,0.4
d_0,0.95,0.83,1.11,0.47,0.83,0.71,0.46,0.43,0.26,0.33,0.46,0.33,0.29,0.42,0.39,0.32
c_0,1.48,0.83,0.48,0.78,0.76,0.79,0.42,0.4,0.45,0.24,0.35,0.43,0.33,0.46,0.43,0.3
f_0,0.79,1.24,0.75,0.71,0.75,0.73,0.42,0.27,0.34,0.34,0.23,0.39,0.32,0.48,0.5,0.23
b_0,0.99,0.82,0.62,0.76,1.3,0.77,0.41,0.42,0.37,0.21,0.31,0.23,0.32,0.36,0.5,0.3
h_0,0.73,0.85,0.77,0.71,0.73,0.72,0.51,0.48,0.38,0.36,0.39,0.3,0.38,0.35,0.33,0.3
e_0,0.79,1.45,0.69,1.0,0.87,0.59,0.43,0.34,0.35,0.29,0.21,0.3,0.32,0.2,0.37,0.29
a_0,0.87,0.75,0.75,0.78,0.8,1.01,0.4,0.42,0.35,0.31,0.29,0.2,0.29,0.32,0.21,0.31
g_0,0.82,0.87,0.82,0.71,0.83,0.69,0.34,0.52,0.36,0.32,0.37,0.32,0.24,0.36,0.33,0.36
