,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.12,5.31,3.19,5.25,5.64,5.25,1.57,1.87,1.26,1.03,1.27,1.27,1.08,1.22,3.15,0.89
d_1,6.93,1.12,6.14,5.52,5.19,4.45,1.82,0.98,2.66,0.99,1.03,0.92,0.63,1.19,0.92,0.56
f_1,5.31,4.94,1.13,4.7,5.54,6.16,1.05,1.64,0.99,1.0,1.01,2.44,0.56,1.15,0.87,0.89
c_1,4.89,7.47,5.43,1.13,6.21,6.0,1.69,1.61,0.67,2.51,1.11,1.13,0.8,0.9,1.06,0.72
b_1,6.14,6.64,6.54,3.47,1.13,6.99,2.53,1.98,1.53,1.69,3.18,1.63,0.94,1.22,1.46,1.09
a_1,9.36,10.01,10.49,13.69,4.43,1.14,2.26,3.58,2.28,2.08,2.37,1.69,1.89,3.91,2.5,1.46
h_1,18.28,17.15,22.72,20.18,15.58,17.63,1.79,4.76,4.02,3.59,3.97,3.77,4.46,3.07,2.97,2.78
g_1,22.62,19.06,21.71,20.05,19.25,16.49,4.38,1.78,4.39,3.73,4.33,4.01,2.29,3.31,4.45,6.16
d_0,11.1,44.89,23.83,21.71,26.29,21.57,6.06,8.7,2.4,5.34,5.32,4.55,3.23,4.55,4.34,3.45
c_0,21.65,11.73,21.85,56.21,26.29,24.73,6.61,5.32,6.59,2.43,4.76,5.46,3.71,5.03,4.23,3.14
b_0,21.01,18.64,25.06,39.35,60.1,21.12,6.11,6.9,5.09,2.28,2.27,4.48,3.29,3.79,4.18,2.99
f_0,26.73,23.53,43.69,33.49,31.67,17.79,7.9,4.76,6.22,5.22,5.56,2.42,4.09,4.07,4.45,2.17
h_0,36.01,40.62,32.77,35.77,37.76,29.39,15.8,10.35,7.23,7.18,7.33,5.93,8.35,6.24,5.18,4.76
a_0,36.01,31.02,36.26,37.04,61.35,78.0,11.04,13.68,8.51,7.11,4.02,7.69,6.08,2.76,6.55,4.62
e_0,70.58,40.62,51.64,40.88,51.67,44.09,12.21,9.82,8.62,7.86,8.9,3.79,5.21,6.91,2.69,5.71
g_0,50.41,42.65,43.69,49.19,49.92,36.87,10.2,22.53,11.59,10.12,10.93,9.25,4.77,8.06,8.26,10.83
