,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,101.75,15.6,16.23,17.67,25.39,67.83,1743.18,3651.89,7507.57,3766.2,5109.76,6914.72,18640.91,17243.77,,46024.67
f_1,15.9,128.93,19.16,16.34,23.86,45.16,1579.1,3019.35,4580.82,4577.14,5896.51,,10366.7,20958.57,15066.42,23118.57
c_1,10.3,12.1,140.09,17.32,30.61,41.39,2131.02,3173.76,3718.02,3878.42,,9772.47,14956.16,20247.84,17961.89,34175.15
d_1,9.18,13.2,14.16,147.27,24.64,51.0,1776.88,3102.1,,5396.68,8944.93,6332.42,,16145.65,27673.13,17767.54
b_1,9.62,12.45,13.33,10.39,189.96,62.51,1446.67,2759.42,3169.28,,5403.77,4907.0,13328.86,19343.84,17643.8,44703.46
a_1,6.99,9.34,11.7,10.39,12.29,366.46,1551.76,2129.85,3012.04,2639.69,3108.55,5392.29,,14710.87,,20607.89
h_1,5.24,8.53,5.0,9.48,12.33,20.71,3141.22,1965.0,1899.29,1644.9,1930.9,3590.63,8288.6,,14633.99,22021.32
g_1,4.02,5.59,6.46,8.82,6.39,19.05,674.62,5119.21,1361.79,1968.29,1972.16,4592.25,,8340.31,9217.22,
d_0,3.47,5.74,11.47,,11.32,20.68,665.1,1500.15,4707.17,2476.11,1828.8,2796.45,5796.63,11190.69,11113.72,14336.71
b_0,5.67,5.57,5.82,7.1,,17.69,1060.62,986.68,1234.62,4875.28,2118.76,3771.59,13103.85,8691.6,10249.69,14599.9
c_0,4.73,5.74,,4.6,7.41,19.39,897.51,1350.93,2134.84,2531.84,5319.8,2769.14,7638.94,10067.14,12671.68,12063.52
f_0,3.45,,4.72,6.61,11.88,15.14,617.17,1061.14,1615.49,1445.26,1729.01,7901.04,5322.03,7412.7,10850.47,13224.11
a_0,2.86,4.62,4.57,,5.27,,444.03,,1358.42,817.17,1583.52,2064.21,14508.66,7180.73,,9804.53
h_0,3.62,6.65,5.59,5.92,8.17,16.23,,1261.27,1300.72,1343.2,1571.03,1946.44,5751.92,,6043.01,13307.73
e_0,,4.24,4.18,3.3,5.62,,463.51,779.88,677.76,1313.43,902.89,2221.61,,7747.24,18617.32,8305.07
g_0,3.03,3.86,4.14,8.25,3.96,16.15,412.67,,974.71,1319.43,1410.98,2780.52,5772.52,6113.34,5724.12,
