,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,23.3,0.72,0.28,0.35,0.35,0.3,0.68,0.66,0.53,0.55,0.79,0.2,0.89,0.73,0.66,0.85
e_1,0.38,24.03,0.44,0.23,0.36,0.32,0.7,1.56,0.79,0.79,0.78,0.75,0.85,0.62,0.19,0.86
c_1,0.28,0.29,26.12,0.33,0.73,0.47,0.77,0.75,0.61,0.1,0.53,0.83,0.78,0.94,0.85,0.87
d_1,0.36,0.27,0.25,29.36,0.29,0.26,0.85,0.21,0.79,1.9,1.12,0.78,0.99,0.95,0.94,0.87
b_1,0.3,0.3,0.37,0.3,30.8,0.8,0.86,0.77,0.61,0.7,0.14,1.06,0.83,0.58,1.04,0.61
a_1,0.37,0.36,0.36,0.36,0.29,48.02,0.61,0.84,0.9,0.69,0.63,0.95,1.06,0.17,0.51,0.77
h_1,1.11,0.6,0.63,0.79,0.42,0.46,9.79,1.14,1.75,1.18,1.25,1.17,0.48,1.45,1.54,1.9
d_0,0.74,0.61,1.51,0.17,0.61,0.65,1.37,5.0,1.1,1.26,1.95,1.03,1.22,1.51,1.13,1.65
g_1,0.54,0.5,0.59,1.35,0.51,0.47,0.98,1.41,12.16,1.39,1.36,2.76,0.97,1.08,1.75,0.79
c_0,0.9,0.43,0.3,0.73,0.48,0.61,1.46,2.21,1.62,6.74,4.66,1.62,2.41,1.8,1.49,1.53
b_0,0.76,0.7,0.65,0.77,0.13,0.36,1.4,1.68,1.43,2.66,8.34,1.58,2.24,3.76,1.53,1.75
f_0,0.19,0.6,0.85,0.89,0.61,0.73,1.17,1.5,1.55,1.33,1.24,7.83,1.89,1.92,3.86,2.36
h_0,0.88,0.56,0.57,0.9,0.63,0.61,0.45,1.17,1.76,1.54,1.36,1.58,0.55,1.33,1.67,2.46
a_0,0.81,0.78,0.77,0.94,0.44,,1.65,1.25,1.73,1.36,1.28,1.59,1.55,8.81,2.26,1.55
e_0,0.68,0.12,0.8,0.84,0.93,0.42,1.48,1.56,1.72,1.76,1.93,1.53,1.94,1.76,9.36,2.34
g_0,0.64,0.44,0.8,1.16,0.61,0.62,1.08,0.93,0.49,1.11,1.09,2.59,1.96,1.4,1.55,0.76
