,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.91,0.36,0.24,0.38,0.27,0.16,0.33,0.23,0.26,0.49,0.24,0.22,0.21,0.27,0.12,0.21
f_1,0.53,0.9,0.27,0.31,0.22,0.19,0.27,0.21,0.26,0.29,0.26,0.14,0.2,0.24,0.13,0.19
d_1,0.29,0.35,0.91,0.22,0.29,0.18,0.33,0.24,0.5,0.16,0.3,0.25,0.18,0.26,0.17,0.25
c_1,0.28,0.25,0.31,0.9,0.53,0.19,0.3,0.21,0.13,0.25,0.15,0.26,0.13,0.26,0.18,0.22
b_1,0.3,0.37,0.3,0.27,0.89,0.36,0.3,0.22,0.28,0.24,0.2,0.23,0.15,0.26,0.18,0.22
a_1,0.32,0.32,0.36,0.36,0.25,0.88,0.31,0.23,0.23,0.26,0.28,0.23,0.13,0.28,0.15,0.24
h_1,0.3,0.46,0.37,0.37,0.29,0.19,0.64,0.3,0.27,0.26,0.28,0.23,0.21,0.21,0.15,0.33
g_1,0.27,0.3,0.53,0.37,0.31,0.18,0.36,0.6,0.29,0.22,0.28,0.4,0.19,0.27,0.22,0.22
c_0,0.36,0.42,0.39,0.27,0.25,0.18,0.35,0.28,0.53,0.28,0.55,0.31,0.31,0.34,0.21,0.3
d_0,0.34,0.36,0.18,0.62,0.34,0.2,0.33,0.23,0.2,0.49,0.25,0.28,0.17,0.25,0.18,0.25
b_0,0.32,0.4,0.38,0.37,0.21,0.16,0.32,0.25,0.37,0.27,0.53,0.3,0.47,0.36,0.21,0.26
f_0,0.3,0.31,0.41,0.35,0.36,0.21,0.36,0.27,0.32,0.25,0.31,0.49,0.17,0.32,0.41,0.28
a_0,0.34,0.36,0.36,0.43,0.27,0.13,0.34,0.27,0.3,0.35,0.29,0.3,0.45,0.33,0.19,0.29
h_0,0.35,0.49,0.36,0.32,0.33,0.16,0.25,0.31,0.29,0.3,0.27,0.21,0.18,0.2,0.19,0.32
e_0,0.25,0.39,0.44,0.33,0.33,0.23,0.34,0.25,0.36,0.28,0.33,0.29,0.23,0.36,0.42,0.28
g_0,0.29,0.31,0.54,0.32,0.33,0.18,0.31,0.2,0.33,0.25,0.26,0.42,0.16,0.28,0.27,0.22
