,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,5.63,0.65,0.58,0.41,0.5,0.63,2.42,2.04,4.97,0.69,3.17,3.39,3.47,5.15,2.36,5.86
f_1,0.61,5.75,1.07,0.51,0.6,0.38,2.15,2.03,2.92,3.15,3.05,0.85,2.89,3.91,2.14,3.62
e_1,0.49,0.57,6.41,0.77,0.54,0.56,1.97,1.92,2.95,5.97,3.14,3.12,3.26,4.64,0.83,4.33
c_1,0.55,0.67,0.56,6.65,1.09,0.67,2.07,2.43,0.47,2.89,1.62,3.13,2.72,4.42,2.83,3.34
b_1,0.65,0.66,0.49,0.59,7.79,1.22,2.1,2.26,2.73,3.47,0.37,2.4,1.94,3.49,2.67,3.62
a_1,0.45,0.5,0.53,0.77,0.85,10.68,2.46,1.7,2.56,2.88,2.92,3.27,,4.19,4.37,5.24
h_1,1.24,1.59,0.95,0.89,0.72,0.67,14.9,4.89,5.0,4.27,5.62,4.97,4.01,2.93,5.7,9.01
g_1,1.64,0.88,0.86,0.98,0.83,1.03,3.8,18.34,4.01,4.57,6.44,7.5,4.81,8.04,6.97,2.96
c_0,1.25,0.94,1.35,0.47,0.75,0.96,3.61,4.11,14.07,4.75,11.05,5.43,6.82,7.3,6.46,9.03
d_0,0.43,1.05,1.06,2.36,1.05,0.93,3.55,3.85,3.01,12.97,4.93,4.69,5.88,7.62,5.14,5.94
b_0,1.43,1.34,0.93,1.39,0.34,0.58,4.29,3.96,4.48,5.32,15.25,5.13,8.69,7.08,5.67,6.17
f_0,1.22,0.27,0.96,1.01,1.12,1.25,5.13,4.95,6.4,5.36,6.47,17.53,5.35,7.46,14.73,10.43
a_0,1.03,1.21,0.96,1.62,1.03,,4.13,4.08,5.16,4.54,6.04,5.24,19.97,8.65,5.57,5.84
h_0,1.11,1.53,1.0,1.17,0.83,0.93,1.43,4.99,4.57,4.8,4.89,4.63,5.81,2.86,4.29,8.34
e_0,1.27,0.91,0.44,1.32,1.53,1.2,3.34,3.49,4.6,5.35,5.44,5.29,5.27,9.07,23.57,6.69
g_0,1.88,0.91,0.81,1.13,0.76,0.77,3.9,1.58,5.13,4.62,5.71,8.45,5.68,8.34,6.32,3.12
