,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.0,0.85,1.35,0.97,0.83,0.79,0.61,0.65,0.67,0.57,0.55,0.57,0.47,0.62,0.57,0.46
d_1,1.17,1.0,1.09,0.88,0.95,0.68,0.72,0.6,0.63,0.86,0.64,0.64,0.61,0.47,0.56,0.51
e_1,0.74,0.92,1.0,1.1,1.05,1.01,0.79,0.71,0.93,0.66,0.73,0.73,0.68,0.61,0.59,0.7
c_1,1.03,1.13,0.91,1.0,1.33,0.68,0.63,0.59,0.48,0.48,0.6,0.49,0.66,0.58,0.54,0.59
b_1,1.22,1.06,0.96,0.75,1.0,1.37,0.85,0.79,0.67,0.73,0.65,0.7,0.59,0.67,0.55,0.64
a_1,1.27,1.48,0.98,1.48,0.74,1.0,0.92,0.79,0.81,0.69,0.78,0.79,0.72,0.66,0.54,0.64
h_1,1.66,1.44,1.28,1.6,1.21,1.13,1.0,1.2,0.85,0.86,0.82,0.89,0.8,0.94,0.68,0.78
g_1,1.53,1.72,1.37,1.6,1.26,1.23,0.84,1.0,0.83,0.93,1.03,1.03,0.75,0.75,0.75,0.83
d_0,1.46,1.69,1.09,2.13,1.48,1.26,1.16,1.23,1.0,0.83,0.88,0.9,0.92,0.84,0.95,0.84
c_0,1.7,1.18,1.44,1.83,1.38,1.42,1.18,1.1,1.24,1.0,1.06,1.39,1.04,0.92,1.02,1.04
f_0,1.65,1.63,1.33,1.71,1.53,1.26,1.19,1.02,1.17,0.92,1.0,1.05,0.91,0.71,0.92,1.26
b_0,1.75,1.57,1.34,2.01,1.47,1.2,1.16,0.97,1.08,0.71,0.98,1.0,1.02,0.9,1.32,0.88
h_0,2.06,1.67,1.52,1.55,1.67,1.28,1.3,1.28,1.06,0.95,1.08,1.01,1.0,1.17,0.91,0.82
g_0,1.6,2.08,1.7,1.73,1.5,1.48,1.05,1.31,1.09,1.14,1.36,1.13,0.83,1.0,0.96,0.9
a_0,1.64,1.87,1.67,1.83,1.82,1.92,1.43,1.27,1.03,0.91,1.16,0.75,1.14,1.07,1.0,0.76
e_0,2.19,1.86,1.53,1.73,1.64,1.48,1.3,1.21,1.15,0.96,0.82,1.17,1.24,1.1,1.42,1.0
