,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.94,0.26,0.48,0.28,0.26,0.13,0.2,0.17,0.17,0.16,0.18,0.06,0.12,0.11,0.08,0.14
d_1,0.36,0.94,0.24,0.24,0.24,0.18,0.22,0.07,0.16,0.31,0.16,0.15,0.18,0.14,0.13,0.13
e_1,0.26,0.3,0.93,0.29,0.25,0.23,0.18,0.33,0.17,0.17,0.17,0.16,0.18,0.11,0.07,0.14
c_1,0.31,0.32,0.28,0.94,0.4,0.22,0.15,0.16,0.19,0.08,0.14,0.16,0.17,0.13,0.09,0.15
b_1,0.3,0.37,0.29,0.22,0.94,0.34,0.23,0.19,0.15,0.17,0.07,0.15,0.2,0.1,0.13,0.16
a_1,0.42,0.36,0.31,0.29,0.27,0.93,0.22,0.23,0.21,0.2,0.16,0.19,0.19,0.06,0.16,0.14
h_1,0.67,0.45,0.57,0.64,0.4,0.34,0.73,0.29,0.37,0.35,0.34,0.29,0.23,0.23,0.24,0.29
d_0,0.59,0.39,0.43,0.96,0.45,0.41,0.44,0.61,0.24,0.31,0.4,0.32,0.3,0.23,0.24,0.29
g_1,0.57,0.77,0.49,0.53,0.52,0.29,0.34,0.44,0.72,0.3,0.37,0.46,0.35,0.25,0.28,0.18
c_0,0.72,0.43,0.73,0.37,0.43,0.37,0.43,0.46,0.34,0.62,0.67,0.36,0.42,0.25,0.27,0.27
b_0,0.66,0.65,0.6,0.71,0.26,0.38,0.41,0.4,0.34,0.3,0.61,0.29,0.4,0.44,0.3,0.27
f_0,0.54,0.63,0.54,0.66,0.62,0.4,0.39,0.47,0.33,0.41,0.38,0.61,0.33,0.29,0.45,0.25
h_0,1.02,0.65,0.54,0.59,0.49,0.4,0.29,0.42,0.41,0.32,0.38,0.38,0.21,0.23,0.29,0.39
a_0,0.69,0.69,0.72,0.7,0.54,,0.49,0.52,0.34,0.5,0.34,0.41,0.49,0.6,0.24,0.34
e_0,1.08,0.71,0.28,0.82,0.43,0.4,0.54,0.44,0.36,0.48,0.4,0.34,0.45,0.44,0.6,0.33
g_0,0.66,0.96,0.59,0.66,0.55,0.49,0.41,0.38,0.25,0.42,0.49,0.56,0.27,0.31,0.34,0.23
