,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.45,2.45,3.98,3.93,6.02,3.85,1.3,0.87,0.93,1.41,0.82,1.06,0.73,1.01,6.76,0.73
f_1,4.33,0.44,4.05,5.75,3.8,3.53,0.78,0.81,0.74,1.53,0.89,3.83,0.47,0.71,0.88,0.89
d_1,6.32,5.28,0.42,4.24,5.02,4.88,1.09,4.26,0.78,0.66,0.82,0.88,0.67,0.99,0.79,0.4
c_1,3.97,4.6,7.42,0.41,4.19,4.67,1.44,0.48,4.33,1.49,1.11,0.79,0.73,0.78,1.11,0.69
b_1,4.47,6.92,4.63,2.37,0.38,7.19,1.47,1.02,1.26,1.89,7.32,1.18,0.77,1.86,0.91,0.61
a_1,6.97,6.51,5.61,6.51,3.27,0.33,2.31,1.33,1.04,1.6,1.06,1.04,0.83,8.95,1.1,1.36
h_1,5.42,4.03,5.09,6.42,5.53,4.11,0.36,1.35,1.02,1.5,0.99,0.98,1.87,0.75,1.01,0.84
d_0,2.87,6.3,24.38,5.85,4.68,4.58,2.1,0.47,1.53,2.07,1.01,1.24,0.7,1.15,1.03,0.9
c_0,5.34,4.97,2.73,36.59,6.2,6.59,1.72,1.54,0.44,1.8,1.13,1.09,0.68,1.05,1.0,0.78
g_1,5.36,6.97,5.0,6.93,4.5,8.67,1.27,1.43,1.07,0.31,1.25,0.89,0.57,0.82,0.84,1.86
b_0,5.49,4.98,6.18,6.17,12.88,5.72,1.48,1.31,0.67,1.87,0.42,0.95,0.85,1.31,0.93,0.79
f_0,5.29,20.63,5.27,6.36,5.85,6.29,1.8,1.16,1.28,1.12,1.02,0.41,0.71,0.89,0.86,0.43
h_0,5.68,7.83,7.11,7.48,7.05,7.16,5.53,1.48,1.39,2.22,1.44,1.21,2.53,1.27,1.05,1.08
a_0,6.17,6.98,7.0,9.2,8.65,,1.98,1.71,1.62,2.66,0.84,1.45,1.23,0.36,1.42,0.9
e_0,,10.43,8.47,6.16,5.97,5.38,2.71,1.65,1.56,1.52,1.36,0.68,0.84,1.5,0.34,1.14
g_0,8.86,6.56,7.87,8.71,8.17,7.41,1.82,1.88,1.55,6.65,1.51,1.35,0.93,1.23,1.52,1.99
