,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.65,0.87,0.72,1.01,0.79,0.66,0.98,1.48,0.93,0.91,1.07,1.01,1.06,1.04,0.94,0.76
f_1,1.24,1.69,0.78,0.83,0.72,0.66,0.94,0.95,0.84,0.85,0.95,0.65,0.9,1.02,0.87,0.66
d_1,0.82,0.83,2.0,0.63,0.63,0.8,1.0,0.68,1.73,1.16,1.2,1.11,1.07,1.1,1.09,1.08
c_1,0.73,0.85,0.82,2.02,1.4,0.74,0.89,0.91,0.62,0.83,0.66,0.91,0.92,0.92,0.94,1.06
b_1,0.75,0.82,0.83,0.72,2.21,1.56,0.91,0.9,0.89,0.87,0.72,0.96,0.92,0.62,1.04,0.93
a_1,0.83,0.91,0.84,0.9,0.76,2.91,1.05,0.87,0.83,0.99,0.9,0.95,1.0,0.63,1.07,1.06
h_1,0.84,1.07,0.93,0.86,0.88,0.8,1.64,1.01,0.87,1.21,0.95,1.0,0.93,0.89,1.37,1.1
d_0,0.8,0.86,0.7,1.47,0.94,0.76,1.0,1.38,0.72,0.87,0.96,1.12,1.0,0.93,0.93,1.17
c_0,0.89,0.96,0.91,0.74,0.61,0.86,1.17,1.04,1.49,1.15,1.91,1.24,1.21,1.47,1.14,1.14
g_1,0.84,0.7,1.31,0.88,0.73,0.75,1.02,0.94,1.13,2.37,1.14,1.74,1.03,1.16,0.78,1.33
b_0,0.87,0.98,0.97,0.86,0.68,0.64,1.1,0.86,1.06,1.19,1.67,1.16,1.23,2.09,1.03,1.09
f_0,0.64,0.8,1.0,0.96,0.99,1.02,1.1,1.03,1.09,1.11,1.11,1.76,1.22,1.04,1.01,2.37
h_0,0.86,1.11,0.98,0.88,0.77,0.75,0.79,0.93,0.98,1.19,1.21,0.93,0.74,1.14,1.29,1.0
a_0,0.91,0.89,0.99,0.85,0.89,0.62,1.21,1.1,1.03,1.09,1.04,1.03,1.11,2.07,0.97,0.98
g_0,0.6,0.8,1.29,0.85,0.98,0.84,0.93,0.8,1.16,0.84,1.09,1.65,1.1,1.19,0.99,1.55
e_0,0.68,1.02,0.85,0.9,1.04,0.89,1.09,0.99,0.99,0.99,1.0,1.15,1.25,0.93,0.96,2.29
