,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.92,0.69,0.37,0.38,0.28,0.2,0.34,0.3,0.33,0.36,0.24,0.33,0.35,0.16,0.2,0.25
e_1,0.46,0.92,0.36,0.46,0.33,0.18,0.38,0.32,0.31,0.59,0.35,0.35,0.36,0.19,0.23,0.28
d_1,0.46,0.39,0.93,0.29,0.36,0.23,0.38,0.29,0.64,0.23,0.33,0.4,0.34,0.27,0.23,0.26
c_1,0.44,0.38,0.37,0.91,0.59,0.24,0.35,0.31,0.21,0.33,0.32,0.25,0.33,0.2,0.2,0.28
b_1,0.49,0.37,0.4,0.33,0.91,0.39,0.37,0.3,0.36,0.32,0.33,0.25,0.34,0.23,0.2,0.27
a_1,0.51,0.39,0.44,0.36,0.36,0.89,0.42,0.26,0.39,0.29,0.27,0.35,0.35,0.26,0.19,0.28
h_1,0.57,0.45,0.46,0.38,0.36,0.22,0.66,0.37,0.33,0.33,0.36,0.32,0.3,0.23,0.28,0.42
g_1,0.41,0.36,0.6,0.37,0.36,0.22,0.4,0.63,0.39,0.28,0.5,0.35,0.34,0.26,0.26,0.28
c_0,0.48,0.5,0.47,0.33,0.29,0.22,0.42,0.36,0.57,0.39,0.39,0.66,0.42,0.28,0.32,0.36
d_0,0.47,0.44,0.36,0.67,0.4,0.21,0.39,0.3,0.25,0.53,0.33,0.33,0.36,0.25,0.23,0.33
f_0,0.34,0.35,0.54,0.43,0.42,0.25,0.41,0.39,0.44,0.36,0.56,0.39,0.44,0.51,0.29,0.35
b_0,0.48,0.46,0.48,0.41,0.3,0.21,0.4,0.35,0.39,0.39,0.37,0.54,0.43,0.3,0.51,0.34
h_0,0.56,0.48,0.49,0.43,0.33,0.2,0.32,0.44,0.39,0.34,0.32,0.37,0.29,0.22,0.23,0.38
e_0,0.54,0.39,0.5,0.39,0.37,0.26,0.42,0.37,0.41,0.32,0.3,0.39,0.46,0.5,0.29,0.37
a_0,0.49,0.45,0.51,0.37,0.33,0.18,0.41,0.36,0.45,0.33,0.42,0.39,0.44,0.27,0.47,0.36
g_0,0.4,0.42,0.64,0.41,0.36,0.23,0.35,0.34,0.4,0.29,0.51,0.41,0.39,0.32,0.28,0.24
