,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.44,17.91,36.39,31.83,37.14,34.12,10.53,12.67,6.26,6.86,7.97,6.41,8.09,4.7,,5.44
f_1,35.37,0.44,37.43,35.44,33.83,39.47,7.55,11.51,6.78,4.96,5.57,,6.67,3.1,7.8,5.21
d_1,41.66,30.7,0.43,27.21,34.4,37.01,9.79,5.81,6.88,,8.15,8.09,7.57,4.95,6.89,3.06
c_1,30.36,48.96,36.47,0.43,36.15,30.45,9.4,6.49,,3.55,8.69,6.66,6.23,6.17,11.75,4.71
b_1,47.23,35.02,38.52,20.42,0.41,35.19,8.57,11.31,9.54,6.63,,6.41,11.08,5.46,5.19,4.89
a_1,47.22,43.04,56.72,49.47,29.05,0.33,11.44,15.98,9.73,7.36,12.06,8.63,,6.89,,7.06
h_1,16.86,15.66,13.12,15.6,21.18,14.87,0.39,3.73,3.93,3.43,3.1,3.41,3.44,,5.7,2.69
g_1,18.58,25.0,25.46,27.3,16.88,19.42,4.63,0.33,3.84,4.28,5.16,5.31,4.5,1.69,3.43,
c_0,17.14,14.48,7.43,,18.41,21.61,4.84,5.76,0.49,4.38,2.41,2.86,3.49,2.1,2.61,2.09
d_0,9.21,17.8,,13.79,16.19,15.84,3.76,5.63,4.69,0.48,5.54,2.89,2.82,1.76,2.15,2.62
b_0,15.9,16.35,15.93,22.27,,19.36,4.22,4.55,1.65,4.19,0.47,3.02,3.96,2.23,2.61,2.69
f_0,21.6,,18.67,15.36,15.19,17.48,4.04,3.24,2.69,3.69,4.41,0.44,4.34,3.39,,1.29
a_0,19.5,16.58,22.96,23.62,23.19,,6.61,7.23,4.4,5.33,1.59,6.39,0.37,2.93,4.13,
h_0,11.2,13.21,15.73,18.82,10.66,13.91,,3.38,2.33,3.11,1.96,3.8,2.33,,,1.74
e_0,,23.13,27.03,17.97,17.45,,5.82,5.76,4.86,5.3,4.73,,4.45,,0.38,1.81
g_0,21.76,25.79,14.36,16.33,14.53,12.47,2.81,,2.75,2.95,2.93,2.7,,1.18,2.79,
