,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.06,2.45,2.0,2.19,1.97,1.59,0.64,0.77,0.74,0.6,0.88,0.67,0.36,0.54,0.49,0.55
e_1,1.5,1.06,2.29,2.36,2.16,1.99,0.94,0.91,0.82,0.68,0.82,0.79,0.54,0.68,1.06,0.5
d_1,2.5,2.51,1.06,2.13,2.05,1.77,0.83,0.65,1.25,0.7,0.55,0.57,0.51,0.51,0.64,0.34
c_1,2.63,2.36,2.81,1.06,2.75,2.16,0.91,0.94,0.45,0.82,0.67,0.59,0.55,0.66,0.61,0.5
b_1,3.32,2.48,3.18,1.71,1.07,2.89,1.22,1.13,0.85,0.9,0.76,1.39,0.77,0.63,0.74,0.57
a_1,4.18,4.4,3.95,4.4,2.0,1.07,1.3,1.24,1.0,1.38,1.24,1.3,0.93,1.62,0.93,0.78
h_1,6.46,6.42,6.17,6.13,4.72,4.64,1.33,2.33,1.91,1.61,1.56,1.72,1.73,1.57,1.23,1.36
g_1,7.05,6.42,6.93,6.85,6.28,5.21,2.08,1.35,1.89,2.12,2.21,1.78,1.04,2.06,1.94,1.46
d_0,7.72,4.57,10.38,8.99,5.81,8.3,2.75,3.0,1.52,2.11,2.33,1.87,1.63,2.02,1.38,1.8
c_0,8.69,7.19,4.8,14.97,8.02,6.23,3.5,2.87,3.05,1.54,1.98,2.62,1.82,2.25,2.14,1.43
f_0,11.42,6.51,7.76,8.09,8.27,6.93,3.55,2.24,2.07,2.38,1.53,1.98,2.01,2.2,2.4,1.3
b_0,7.86,7.31,7.34,11.51,13.07,6.79,3.21,2.99,2.7,1.39,2.91,1.5,1.9,3.06,1.85,1.72
h_0,12.36,9.5,9.07,10.57,8.95,7.42,5.69,4.86,3.24,2.73,2.83,2.65,2.99,2.43,2.15,2.5
a_0,9.93,9.91,11.03,10.81,14.36,12.74,4.29,3.25,2.95,2.42,3.37,1.72,2.35,1.6,2.81,2.25
e_0,13.08,14.22,9.17,9.76,10.47,9.19,4.39,3.35,4.29,2.66,1.81,3.21,3.07,2.57,1.59,1.81
g_0,13.45,11.79,13.14,13.84,12.99,10.59,3.98,6.88,3.73,3.65,3.43,3.31,2.16,2.97,3.7,3.31
