,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.45,1.08,1.19,1.86,5.24,16.17,28.59,30.7,30.66,45.98,44.26,69.81,93.77,117.79,103.87
e_1,0.69,1.0,0.96,1.36,1.72,3.0,17.13,29.07,29.27,45.14,40.97,56.72,79.6,91.76,100.79,126.54
d_1,0.92,1.04,1.0,1.03,1.63,3.17,16.26,35.47,23.04,28.63,45.11,41.31,67.28,65.64,75.8,115.65
c_1,0.84,0.74,0.97,1.0,1.89,3.18,16.19,19.17,23.23,20.43,32.43,34.8,62.4,62.03,96.88,92.94
b_1,0.54,0.58,0.61,0.53,1.0,3.26,10.2,17.67,16.73,18.18,27.19,24.79,48.59,51.76,48.29,56.15
a_1,0.19,0.33,0.32,0.31,0.31,1.0,4.1,8.36,9.84,10.19,11.67,11.64,20.37,22.46,24.12,28.14
h_1,0.06,0.06,0.06,0.06,0.1,0.24,1.0,1.5,2.4,1.66,3.08,2.59,5.44,4.9,6.95,6.89
c_0,0.04,0.03,0.03,0.05,0.06,0.12,0.67,1.0,1.37,1.41,2.23,1.7,2.74,3.38,3.34,3.88
g_1,0.03,0.03,0.04,0.04,0.06,0.1,0.42,0.71,1.0,0.82,1.25,1.68,1.81,2.76,2.51,3.98
d_0,0.03,0.02,0.03,0.05,0.05,0.1,0.61,0.73,1.24,1.0,1.52,1.39,2.18,2.77,3.56,3.7
b_0,0.02,0.02,0.02,0.03,0.04,0.08,0.33,0.44,0.8,0.69,1.0,1.15,1.75,3.69,2.53,2.95
f_0,0.02,0.02,0.02,0.03,0.04,0.09,0.39,0.57,0.56,0.7,0.8,1.0,1.6,2.14,1.59,3.43
h_0,0.02,0.01,0.01,0.02,0.02,0.05,0.19,0.36,0.57,0.45,0.57,0.6,1.0,1.06,1.43,1.36
a_0,0.01,0.01,0.02,0.02,0.02,,0.21,0.31,0.35,0.36,0.31,0.51,1.06,1.0,1.17,1.71
g_0,0.01,0.01,0.01,0.01,0.02,0.04,0.14,0.3,0.4,0.29,0.4,0.64,0.69,0.81,1.0,1.2
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.14,0.26,0.24,0.26,0.35,0.3,0.73,0.59,0.82,1.0
