,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.51,0.43,0.5,0.41,0.42,0.36,0.6,0.93,0.64,0.5,0.56,0.52,0.49,0.48,0.28,0.55
f_1,0.72,1.53,0.52,0.54,0.34,0.33,0.43,0.5,0.54,0.55,0.51,0.28,0.56,0.52,0.31,0.55
c_1,0.46,0.4,1.53,0.48,0.75,0.36,0.51,0.48,0.18,0.48,0.38,0.52,0.61,0.48,0.46,0.61
d_1,0.53,0.43,0.45,1.53,0.54,0.35,0.49,0.24,0.88,0.48,0.6,0.56,0.58,0.36,0.44,0.45
b_1,0.42,0.63,0.4,0.42,1.6,0.74,0.56,0.56,0.74,0.54,0.23,0.52,0.58,0.41,0.38,0.5
a_1,0.49,0.57,0.49,0.56,0.29,1.71,0.76,0.63,0.49,0.49,0.65,0.61,0.59,0.2,0.64,0.56
h_1,0.65,1.0,0.71,0.77,0.66,0.54,1.67,0.81,0.8,0.92,0.8,0.85,0.61,0.61,0.89,1.12
d_0,0.69,0.88,1.17,0.43,0.65,0.61,0.88,1.51,0.77,0.65,0.9,0.99,1.09,0.67,0.77,1.08
c_0,0.86,0.87,0.77,0.62,0.52,0.77,0.97,1.02,1.49,0.79,1.34,0.85,1.12,0.97,0.9,0.99
g_1,0.74,0.61,0.71,1.11,0.61,0.68,0.81,1.02,0.89,1.77,0.88,1.19,0.89,0.67,0.72,0.57
b_0,0.77,0.85,1.01,0.8,0.35,0.53,0.88,1.0,0.87,0.73,1.6,0.81,0.97,1.32,0.9,0.87
f_0,0.74,0.52,0.93,0.82,0.81,0.7,0.97,0.98,0.88,0.72,1.0,1.57,1.07,0.71,1.32,0.7
h_0,0.77,1.04,0.82,0.86,0.7,0.61,0.57,0.81,0.79,0.87,1.0,0.76,0.64,0.7,0.73,1.12
a_0,0.75,0.79,0.88,1.0,0.77,,1.16,0.98,0.71,1.0,0.82,0.97,1.29,1.7,0.81,0.99
e_0,0.32,1.12,0.84,0.9,0.88,0.65,1.12,1.04,1.03,0.93,0.95,0.88,1.16,0.87,1.71,1.0
g_0,0.69,0.82,0.76,1.14,0.83,0.61,0.93,0.73,0.84,0.59,1.03,1.45,0.83,0.91,0.96,0.7
