,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.15,47.7,89.72,102.13,79.44,78.54,23.83,24.5,21.29,14.4,16.26,22.38,18.13,13.23,,10.58
f_1,78.11,1.15,104.19,98.94,89.38,99.95,19.4,26.38,20.62,21.6,18.18,,18.95,7.74,17.9,16.62
c_1,107.97,77.65,1.15,102.13,84.12,87.96,43.89,24.5,9.57,25.92,,22.38,18.95,12.06,19.79,14.54
d_1,111.24,104.34,92.29,1.15,150.53,104.71,20.34,17.15,,18.0,26.87,18.52,,13.67,25.07,7.93
b_1,104.89,101.18,67.29,105.53,1.15,122.17,25.27,49.0,19.41,,28.09,14.51,29.79,12.81,23.5,24.93
a_1,104.89,166.95,170.0,131.92,89.38,1.15,41.7,40.35,30.0,40.5,32.53,35.8,,19.52,,16.62
h_1,118.42,107.71,89.72,85.57,102.14,70.94,2.0,25.41,26.4,14.09,16.7,21.48,23.17,,16.35,15.86
g_1,118.42,133.56,115.36,102.13,143.0,122.17,23.17,2.0,24.44,38.12,23.77,22.38,,12.81,25.07,
d_0,52.44,85.62,82.82,,105.93,84.58,29.79,32.67,2.87,29.45,15.07,18.52,16.68,12.81,34.18,17.45
b_0,126.59,95.4,119.63,65.96,,122.17,32.08,25.41,16.1,2.93,11.88,20.65,26.06,15.19,14.46,12.03
c_0,111.24,81.44,,48.71,81.71,115.74,34.75,27.44,24.44,18.0,3.12,23.35,16.04,14.14,28.92,15.17
f_0,166.86,,85.0,137.65,150.53,115.74,33.36,17.59,30.0,20.25,29.43,2.86,26.06,24.12,16.35,10.58
a_0,146.84,278.25,161.5,,178.75,,39.71,,38.82,14.73,23.77,35.8,3.0,17.08,,14.54
h_0,159.61,87.87,100.94,137.65,89.38,95.61,,25.41,16.1,23.14,17.17,24.41,14.89,,12.97,12.46
e_0,,278.25,215.33,126.64,190.67,,27.8,42.88,34.74,28.17,24.72,19.89,,25.62,3.06,26.85
g_0,89.54,222.6,119.63,226.14,81.71,129.35,23.17,,28.7,24.0,30.9,19.18,20.85,12.81,26.86,
