,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,2.41,1.26,0.78,0.76,0.63,0.65,1.28,1.63,1.73,1.59,0.73,1.63,1.29,2.05,1.38,2.37
e_1,0.63,2.41,0.64,0.87,0.89,0.82,1.49,2.83,1.5,1.82,1.86,1.76,1.72,2.34,0.62,1.9
d_1,0.73,0.98,2.52,0.67,0.6,0.85,1.36,0.88,1.21,2.91,1.78,1.82,1.51,1.82,1.85,1.86
c_1,0.8,0.6,0.73,2.57,1.29,0.72,1.55,1.64,1.24,0.66,1.63,1.49,1.78,2.11,1.86,2.44
b_1,0.91,0.62,0.87,0.65,2.69,1.26,1.44,1.61,1.52,1.53,2.13,0.66,1.79,2.03,1.89,1.94
a_1,0.89,0.69,0.72,0.83,0.68,3.31,1.71,1.94,1.39,1.76,1.62,2.15,,1.76,1.67,1.89
h_1,1.3,0.96,1.1,1.03,0.97,0.76,3.8,2.02,2.21,2.1,2.12,2.1,2.1,1.6,1.95,3.26
d_0,1.13,0.8,0.57,1.84,0.99,0.77,2.14,3.6,1.97,2.08,2.4,2.2,2.4,3.2,2.36,3.07
g_1,0.74,0.97,1.58,0.96,0.93,1.1,1.86,2.05,4.39,1.79,2.46,2.62,2.01,2.83,2.35,1.78
c_0,1.35,0.87,0.85,0.6,1.01,0.94,2.36,2.06,2.68,3.8,2.57,3.79,3.3,3.18,2.24,2.79
f_0,0.78,0.91,1.12,1.23,0.87,0.92,2.33,2.44,2.13,2.22,4.0,2.64,2.74,3.41,4.38,2.5
b_0,1.22,0.91,1.25,1.1,0.73,0.57,2.14,2.01,1.78,2.09,2.35,4.08,4.54,3.24,2.43,2.87
a_0,1.29,1.11,1.18,0.95,0.95,,2.25,1.91,2.14,1.78,2.42,1.7,4.49,2.58,2.55,2.91
h_0,1.18,0.87,1.24,1.12,0.87,0.92,1.15,2.05,2.26,2.07,2.18,2.09,2.37,1.63,2.38,3.13
e_0,1.03,0.83,0.98,1.21,1.19,1.16,2.06,1.95,2.12,2.14,2.09,2.25,2.5,2.89,4.69,2.31
g_0,0.89,0.95,1.63,1.04,0.86,0.92,1.78,1.88,1.33,2.04,3.38,1.97,2.35,2.58,2.82,
