,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,2.35,1.37,1.31,1.92,1.39,1.57,3.02,4.93,3.01,2.79,3.14,3.38,4.09,3.15,3.32,4.51
f_1,2.11,2.44,1.31,1.46,1.52,1.28,2.43,3.2,2.7,3.0,3.38,2.16,3.64,2.39,3.47,3.56
d_1,1.48,1.59,2.59,1.26,1.34,1.24,3.0,2.58,2.66,4.89,3.77,3.44,4.19,3.91,3.68,3.7
c_1,1.17,1.52,1.56,2.62,2.38,1.48,2.83,2.3,2.93,2.09,2.63,3.25,3.79,3.01,2.97,3.8
b_1,1.48,1.41,1.5,1.26,2.73,2.62,2.89,3.18,2.97,2.99,2.8,3.49,4.69,3.16,2.81,4.03
a_1,1.38,1.71,1.74,1.56,1.2,3.37,3.24,3.21,2.95,3.62,3.4,3.63,4.03,3.35,2.79,4.54
h_1,1.47,1.92,1.54,1.55,1.52,1.39,4.29,3.1,3.72,3.12,3.3,2.73,3.52,3.49,3.1,5.02
d_0,1.27,1.56,1.3,2.56,1.53,1.51,3.16,4.18,2.97,2.71,3.06,3.66,4.12,3.3,3.55,4.63
g_1,1.41,1.4,2.21,1.38,1.44,1.46,2.53,2.88,4.68,3.39,3.65,4.8,4.03,3.74,3.72,3.8
c_0,1.75,1.75,1.52,1.48,1.36,1.31,3.33,3.34,3.22,4.4,5.43,3.87,4.38,4.08,4.5,4.24
b_0,1.8,1.64,1.67,1.63,1.1,1.3,3.19,3.54,3.07,3.17,4.67,3.55,4.65,4.12,6.53,4.15
f_0,1.4,1.64,1.75,1.51,1.63,1.5,3.9,3.26,2.95,3.38,3.51,4.7,4.23,6.25,2.98,4.15
h_0,1.48,1.96,1.67,1.56,1.36,1.37,2.58,3.24,3.68,3.2,3.4,3.68,3.47,3.63,3.77,5.69
e_0,1.27,2.15,1.46,1.69,1.47,1.44,3.47,3.44,2.83,3.58,3.2,3.26,4.4,5.61,3.5,4.54
a_0,1.55,1.79,1.68,1.59,1.42,0.94,3.3,3.43,3.39,3.34,3.05,3.98,4.13,4.23,5.42,4.34
g_0,1.37,1.5,2.12,1.71,1.64,1.45,2.82,2.54,2.71,3.49,3.39,4.69,3.46,3.49,3.28,3.93
