,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,5.79,0.07,0.09,0.08,0.08,0.05,0.25,0.7,0.35,0.26,0.28,0.31,0.58,0.34,0.68,
f_1,0.12,6.1,0.07,0.07,0.07,0.08,0.28,0.33,0.47,0.25,0.37,,0.6,0.41,0.58,0.51
d_1,0.06,0.09,6.11,0.09,0.06,0.05,0.38,,0.63,0.2,0.45,0.5,0.56,0.34,0.62,0.23
c_1,0.09,0.08,0.05,6.52,0.12,0.09,0.32,0.45,,0.33,0.25,0.32,0.9,,0.64,0.43
b_1,0.09,0.07,0.09,0.06,7.2,0.12,0.31,0.36,0.38,0.28,,0.37,0.62,0.4,0.54,0.4
a_1,0.07,0.05,0.09,0.07,0.09,10.47,0.31,0.24,0.38,,,0.52,0.51,,0.65,
h_1,0.28,0.37,0.27,0.24,0.27,0.36,14.15,1.56,1.37,1.55,1.31,1.21,,1.29,2.8,1.53
d_0,0.39,0.45,,0.77,0.32,0.45,1.44,11.7,1.36,1.62,2.3,1.94,3.04,1.29,1.82,1.64
c_0,0.31,0.43,0.38,,0.38,0.46,1.37,1.84,11.4,1.78,4.41,1.6,1.96,1.73,2.41,1.85
g_1,0.28,0.34,0.44,0.29,0.26,,1.06,1.67,1.43,17.34,0.97,2.19,1.47,1.05,,1.67
b_0,0.39,0.36,0.34,0.31,,,1.5,1.8,1.86,1.32,13.38,2.1,4.54,3.81,2.47,2.39
f_0,0.4,,0.39,0.41,0.49,0.42,1.79,2.08,1.88,1.27,1.78,15.39,2.44,1.86,2.49,3.84
h_0,0.58,0.89,0.51,0.64,0.39,0.42,,2.54,4.08,2.5,1.68,3.29,,3.02,6.24,2.16
a_0,0.44,0.23,0.32,,0.44,,1.72,1.89,1.55,1.58,1.4,1.86,3.17,20.97,2.91,2.74
g_0,0.43,0.34,1.15,0.49,0.7,0.65,1.84,2.98,2.8,,2.47,3.87,4.05,3.08,,
e_0,,0.36,0.38,0.43,0.53,,1.36,1.33,2.16,1.25,2.39,2.21,3.42,2.37,,22.21
