,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.13,4.28,4.57,4.74,4.64,4.26,1.02,1.74,0.84,0.88,0.89,1.93,0.45,0.8,0.96,0.75
e_1,2.69,1.12,5.19,5.81,5.63,6.09,1.51,1.8,1.13,1.12,1.02,1.35,0.75,1.17,2.87,0.85
d_1,5.64,7.14,1.12,5.51,6.1,5.36,1.83,0.95,0.97,3.46,1.02,1.07,0.77,0.97,0.86,0.48
c_1,6.11,4.81,7.17,1.13,5.23,6.25,1.63,2.12,2.47,0.64,1.4,1.42,0.98,1.08,1.39,0.84
b_1,8.37,6.43,7.28,3.62,1.13,6.4,2.18,1.94,1.81,1.4,3.68,1.56,0.93,1.45,1.69,1.1
a_1,11.71,11.6,8.56,10.17,5.26,1.14,3.38,2.77,2.42,2.75,2.81,1.48,1.59,6.13,2.11,1.84
h_1,18.51,18.14,17.87,20.34,20.24,14.13,1.78,6.98,3.71,3.61,3.33,3.75,6.98,4.06,3.46,2.58
g_1,24.22,34.16,18.58,22.9,24.08,18.56,4.35,1.8,4.31,6.06,4.42,4.57,2.76,5.01,3.53,4.51
c_0,26.88,24.62,12.02,44.81,23.67,22.81,6.24,5.21,2.47,7.95,5.09,6.0,4.11,4.77,4.99,3.33
d_0,23.5,12.04,52.74,25.55,24.72,20.14,8.08,13.12,5.06,2.5,5.04,4.57,4.32,4.71,4.04,4.1
b_0,31.14,27.09,22.09,33.98,41.69,22.27,6.66,5.66,2.81,5.53,2.37,4.4,3.95,4.89,5.22,3.52
f_0,62.29,29.4,24.77,28.63,32.1,28.25,10.56,4.23,4.98,7.85,5.76,2.29,4.6,7.88,4.71,2.81
h_0,38.1,31.6,36.74,33.98,32.1,32.08,13.89,10.58,6.02,6.56,6.63,5.58,8.22,5.85,6.4,4.64
a_0,47.28,32.97,40.88,41.78,51.72,57.36,9.43,10.25,6.79,8.15,4.45,7.38,5.3,2.61,5.95,4.64
e_0,70.07,66.53,45.42,35.95,48.16,38.63,9.9,9.79,7.6,8.71,7.04,3.24,5.66,9.9,2.42,4.85
g_0,46.16,39.92,40.88,49.08,51.72,45.07,10.56,16.0,8.08,10.1,9.19,9.6,6.25,8.21,10.27,11.85
