,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.44,1.05,2.09,2.21,2.45,2.01,0.57,0.57,0.68,0.46,0.45,0.49,0.3,0.43,1.18,0.31
f_1,1.77,0.44,1.39,2.26,2.56,1.94,0.39,0.49,0.67,0.37,0.39,0.92,0.21,0.39,0.33,0.37
d_1,2.66,2.12,0.41,2.86,1.94,1.71,0.59,0.94,0.36,0.36,0.35,0.48,0.31,0.35,0.36,0.18
c_1,1.66,2.48,3.09,0.4,1.98,1.89,0.63,0.23,0.96,0.91,0.48,0.46,0.3,0.45,0.41,0.3
b_1,2.31,2.65,3.2,1.03,0.39,3.17,0.74,0.44,0.6,0.78,1.67,0.37,0.29,0.57,0.37,0.33
a_1,3.2,3.0,2.84,3.16,1.28,0.34,0.98,0.62,0.69,0.57,0.62,0.46,0.44,1.23,0.71,0.45
h_1,3.45,3.49,3.01,3.61,3.23,2.92,0.33,0.85,0.95,0.63,0.67,0.67,1.05,0.61,0.66,0.53
d_0,1.92,3.98,6.1,3.72,4.0,3.57,1.02,0.39,1.35,0.64,0.66,0.7,0.59,0.62,0.64,0.62
g_1,3.76,4.41,4.07,4.22,3.68,3.17,0.82,0.98,0.29,0.84,0.79,0.71,0.46,0.91,0.66,0.8
c_0,4.17,3.61,1.91,11.54,4.31,4.46,1.29,1.24,1.1,0.38,0.75,0.84,0.61,0.79,0.67,0.59
b_0,3.59,3.98,3.33,5.52,9.0,3.8,1.11,0.9,1.3,0.43,0.35,0.79,0.77,0.62,0.79,0.62
f_0,4.24,7.13,4.83,4.28,3.46,3.2,1.35,0.97,0.7,0.78,0.79,0.35,0.75,0.79,0.68,0.44
h_0,4.43,5.3,4.68,4.48,4.35,3.38,2.33,0.85,1.38,1.01,0.85,0.91,1.15,0.75,0.65,0.69
a_0,3.39,5.21,5.51,5.35,5.73,10.24,1.73,0.95,1.3,0.81,0.52,0.93,0.77,0.34,0.87,0.58
e_0,7.83,6.29,4.18,5.28,4.65,4.51,1.54,1.04,1.23,0.98,0.84,0.46,0.67,1.05,0.34,0.63
g_0,5.34,5.57,4.67,5.87,4.78,4.8,0.92,1.03,2.47,0.85,0.84,1.04,0.54,0.89,0.78,1.26
