,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.85,1.57,2.0,1.11,1.45,1.41,5.26,13.02,7.62,5.34,8.39,8.07,11.6,7.01,4.39,10.48
f_1,2.77,6.0,1.38,1.47,1.23,1.37,5.35,6.7,6.01,4.18,6.71,2.91,9.34,6.93,6.41,8.6
c_1,1.28,1.49,6.37,1.58,2.89,1.32,5.43,6.83,2.99,5.05,4.84,6.79,11.88,7.12,7.53,10.46
d_1,1.35,1.71,1.13,6.56,1.38,1.38,5.85,4.0,13.27,6.51,10.13,8.57,11.91,9.34,8.41,12.86
b_1,1.2,1.67,1.53,1.35,7.96,3.36,5.21,6.18,6.06,5.09,2.07,6.74,10.14,5.29,8.49,10.75
a_1,1.43,1.85,1.72,1.63,1.38,10.28,5.89,7.39,8.01,5.54,7.69,7.34,10.98,3.59,7.92,10.28
h_1,1.63,2.55,1.75,1.98,1.68,1.76,17.38,7.53,8.97,9.61,7.65,8.9,7.56,9.29,11.98,17.97
d_0,1.78,1.75,3.65,1.02,1.74,1.69,6.7,14.75,6.59,6.51,10.25,9.4,14.4,10.03,9.25,12.57
c_0,2.03,1.9,1.35,2.55,1.22,1.95,6.27,9.78,16.35,6.7,17.57,9.47,12.93,10.98,10.04,15.65
g_1,1.49,1.31,1.77,2.88,1.88,1.86,7.02,8.15,8.72,21.69,8.24,16.17,12.07,10.33,11.23,9.12
b_0,2.17,1.77,2.21,2.13,1.03,1.48,7.65,10.25,8.82,6.73,18.35,9.34,15.17,18.94,9.51,15.27
f_0,1.57,1.12,2.13,1.87,2.2,2.33,8.49,9.6,9.39,7.83,9.03,20.67,13.1,11.26,18.5,15.14
h_0,1.62,2.47,1.97,1.96,1.95,1.56,4.86,9.97,9.33,8.42,9.1,7.75,9.03,9.49,9.49,17.22
a_0,2.11,1.68,1.92,2.08,1.7,1.19,7.4,10.66,9.72,8.66,8.75,12.94,15.16,24.81,9.63,15.87
e_0,1.12,2.22,1.75,2.24,1.85,1.92,8.3,9.35,9.3,8.34,9.63,10.55,13.49,13.31,24.95,11.37
g_0,1.61,1.57,1.82,3.37,1.67,1.45,7.66,6.75,8.78,4.33,8.23,14.03,14.38,9.71,11.78,10.39
