,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.41,0.45,0.6,0.62,0.57,0.62,0.32,0.31,0.29,0.35,0.31,0.37,0.24,0.28,0.25,0.37
f_1,0.63,0.41,0.57,0.58,0.56,0.53,0.26,0.27,0.26,0.34,0.25,0.28,0.19,0.25,0.23,0.22
d_1,0.64,0.6,0.4,0.61,0.58,0.51,0.31,0.33,0.29,0.23,0.28,0.25,0.22,0.25,0.17,0.24
c_1,0.51,0.58,0.68,0.38,0.64,0.59,0.32,0.18,0.28,0.3,0.25,0.26,0.23,0.25,0.23,0.25
b_1,0.61,0.66,0.66,0.42,0.35,0.67,0.36,0.27,0.32,0.35,0.32,0.25,0.24,0.26,0.22,0.24
a_1,0.59,0.65,0.63,0.58,0.4,0.28,0.39,0.27,0.3,0.34,0.34,0.27,0.23,0.32,0.23,0.24
h_1,0.55,0.59,0.55,0.6,0.56,0.49,0.23,0.25,0.25,0.32,0.25,0.24,0.25,0.26,0.24,0.22
d_0,0.42,0.53,0.61,0.7,0.59,0.58,0.34,0.23,0.25,0.32,0.27,0.28,0.25,0.24,0.26,0.28
c_0,0.58,0.61,0.43,0.75,0.56,0.51,0.31,0.29,0.22,0.27,0.29,0.27,0.23,0.27,0.22,0.25
g_1,0.53,0.55,0.58,0.62,0.59,0.51,0.27,0.27,0.25,0.21,0.26,0.26,0.18,0.25,0.24,0.26
b_0,0.54,0.57,0.48,0.72,0.71,0.49,0.3,0.27,0.18,0.29,0.21,0.25,0.23,0.27,0.21,0.23
f_0,0.52,0.62,0.53,0.61,0.59,0.57,0.31,0.27,0.24,0.24,0.24,0.2,0.23,0.24,0.17,0.29
h_0,0.55,0.63,0.55,0.6,0.53,0.47,0.33,0.26,0.22,0.29,0.23,0.23,0.23,0.26,0.22,0.22
a_0,0.55,0.55,0.56,0.59,0.64,0.62,0.31,0.26,0.22,0.27,0.18,0.24,0.24,0.18,0.23,0.26
g_0,0.56,0.55,0.6,0.57,0.6,0.5,0.26,0.25,0.24,0.3,0.25,0.27,0.2,0.24,0.23,0.24
e_0,0.56,0.66,0.51,0.59,0.55,0.57,0.29,0.28,0.25,0.27,0.23,0.15,0.23,0.24,0.18,0.18
