,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.45,4.39,2.16,5.19,5.02,4.69,1.48,1.45,0.76,0.73,1.14,1.0,0.97,4.09,1.03,0.88
d_1,4.91,0.44,4.53,4.38,4.45,4.45,1.28,0.71,2.92,0.76,0.82,0.71,0.61,0.96,0.8,0.37
f_1,5.14,4.04,0.43,4.55,4.24,3.67,0.78,1.66,1.09,0.89,0.74,3.86,0.38,0.89,0.76,0.74
c_1,3.79,6.05,4.8,0.41,5.51,3.8,1.69,1.3,0.48,3.73,0.92,0.94,0.77,0.91,1.0,0.59
b_1,5.29,4.81,6.37,2.48,0.39,5.8,1.37,1.48,1.1,1.45,7.0,0.92,0.73,1.08,1.01,1.07
a_1,6.35,6.01,7.39,5.99,3.12,0.33,1.93,1.55,1.12,1.35,1.34,1.51,0.74,1.1,7.85,0.89
h_1,4.93,4.68,5.19,6.04,4.82,5.1,0.35,1.59,1.1,1.06,0.97,1.0,3.18,1.3,1.37,0.8
g_1,4.95,4.6,6.55,5.25,5.07,5.55,1.13,0.35,1.44,1.15,1.24,1.37,0.59,0.77,1.17,1.79
d_0,3.05,19.93,5.69,5.09,4.88,8.95,1.77,1.93,0.45,1.51,1.09,1.08,0.84,0.93,1.02,0.81
c_0,6.08,2.94,6.0,28.04,5.95,5.24,1.56,1.88,1.67,0.42,1.19,1.44,0.72,1.05,1.01,1.03
b_0,6.51,4.41,5.48,7.36,17.33,5.31,1.82,1.83,1.93,0.74,0.39,1.28,0.69,0.95,0.98,0.82
f_0,4.72,5.89,30.96,6.36,5.47,6.29,1.67,1.0,1.32,1.13,1.17,0.39,0.93,1.15,0.88,0.56
h_0,6.53,6.08,9.47,7.26,6.31,6.34,4.39,2.42,1.48,1.2,1.35,1.12,2.77,1.18,1.19,0.74
e_0,16.76,6.41,10.9,9.07,7.33,5.21,1.68,1.62,1.33,1.49,1.39,0.68,0.96,0.34,1.54,0.68
a_0,6.15,6.05,8.02,8.67,14.33,,2.2,2.58,1.97,1.5,0.61,1.58,1.27,1.2,0.34,1.08
g_0,7.64,8.9,8.11,10.46,8.27,8.02,1.42,4.93,1.49,1.86,1.58,1.2,0.97,1.48,1.69,3.36
