,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.82,0.97,1.09,0.95,0.78,0.73,0.64,0.68,0.86,0.62,0.7,0.59,0.58,0.59,0.63
f_1,1.22,1.0,0.9,0.99,0.84,0.84,0.6,0.58,0.65,0.64,0.6,0.58,0.52,0.53,0.43,0.55
d_1,1.02,1.11,1.0,0.85,0.88,0.87,0.72,0.86,0.56,0.68,0.65,0.62,0.6,0.62,0.64,0.51
c_1,0.93,1.02,1.17,1.0,1.23,0.94,0.73,0.65,0.75,0.51,0.63,0.64,0.63,0.54,0.6,0.57
b_1,1.06,1.17,1.14,0.83,1.0,1.33,0.76,0.74,0.7,0.65,0.66,0.65,0.66,0.56,0.62,0.65
a_1,1.23,1.2,1.15,1.06,0.75,1.0,0.93,0.79,0.82,0.73,0.96,0.8,0.77,0.89,0.73,0.69
h_1,1.35,1.66,1.43,1.35,1.3,1.03,1.0,0.88,1.06,0.93,0.88,0.9,0.89,0.85,0.82,0.95
c_0,1.52,1.71,1.22,1.55,1.36,1.24,1.15,1.0,1.02,1.13,1.28,0.94,0.98,1.0,0.89,0.89
g_1,1.48,1.54,1.79,1.32,1.44,1.23,0.94,0.97,1.0,0.88,0.93,1.03,0.79,0.93,0.87,0.81
d_0,1.26,1.52,1.46,1.97,1.63,1.28,1.09,0.88,1.12,1.0,1.01,0.92,0.92,0.9,0.92,0.91
b_0,1.66,1.61,1.49,1.61,1.51,1.04,1.16,0.8,1.02,0.95,1.0,0.95,0.89,1.37,0.91,0.85
f_0,1.39,1.69,1.57,1.61,1.52,1.27,1.1,1.02,0.94,1.08,1.01,1.0,1.01,1.03,1.27,0.8
h_0,1.71,1.83,1.57,1.57,1.55,1.34,1.11,1.01,1.27,1.08,1.15,1.0,1.0,0.95,0.89,1.05
a_0,1.68,1.89,1.61,1.86,1.8,1.16,1.21,1.03,1.12,1.09,0.78,1.0,1.05,1.0,0.91,0.91
e_0,1.71,2.36,1.53,1.69,1.59,1.37,1.2,1.14,1.16,1.07,1.13,0.81,1.09,1.06,1.0,0.96
g_0,1.6,1.77,1.93,1.74,1.6,1.46,1.05,1.11,1.27,1.04,1.21,1.32,0.97,1.05,1.01,1.0
