,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,10.82,0.65,1.06,0.54,0.68,0.66,0.99,2.56,0.98,0.98,1.04,1.08,0.87,1.11,0.85,0.92
f_1,1.83,11.52,0.6,0.74,0.5,0.64,0.89,0.84,0.89,0.9,0.94,0.48,0.91,1.09,0.59,0.96
c_1,0.51,0.64,11.52,0.65,2.0,0.73,0.78,0.84,0.5,0.79,0.5,1.02,0.93,0.91,0.88,0.98
d_1,0.66,0.74,0.53,12.49,0.76,0.63,0.9,0.55,2.44,1.0,1.42,1.05,1.07,0.85,1.07,0.9
b_1,0.64,0.83,0.59,0.8,11.85,1.77,1.04,0.81,1.01,0.88,0.68,0.92,0.95,0.63,0.89,1.01
a_1,0.71,0.79,0.8,0.8,0.5,17.19,1.06,1.01,0.8,1.01,1.0,1.14,1.17,0.62,1.23,0.92
h_1,0.75,1.2,0.82,0.84,0.69,0.59,3.34,0.85,0.85,1.46,0.95,1.01,0.8,1.06,1.24,1.55
d_0,0.7,0.64,2.34,0.49,0.83,0.68,0.93,2.1,0.61,0.9,0.99,1.08,1.16,1.05,1.1,1.12
c_0,0.78,1.0,0.65,0.97,0.46,0.75,1.2,1.06,1.93,0.98,3.34,0.92,1.24,1.64,1.35,1.19
g_1,0.67,0.58,0.76,2.12,0.63,0.7,0.88,0.82,0.99,3.81,1.06,2.05,1.05,1.01,1.18,0.83
b_0,0.69,0.84,1.12,0.89,0.55,0.53,1.14,0.99,0.98,1.05,2.59,0.97,1.23,3.05,1.08,1.21
f_0,0.55,0.65,1.12,0.82,0.98,0.76,1.18,1.1,0.98,1.05,1.17,2.82,1.31,1.16,3.33,1.07
h_0,0.66,1.4,0.88,0.9,0.75,0.63,0.73,0.86,0.87,1.24,1.11,1.0,0.92,1.24,1.06,1.55
a_0,0.74,1.09,0.78,0.92,0.74,0.52,1.26,0.92,0.97,1.15,1.18,1.11,1.59,2.82,1.09,1.2
e_0,0.55,0.99,0.78,0.85,0.71,0.85,1.38,0.86,0.94,1.09,1.22,1.09,1.17,1.49,2.85,1.23
g_0,0.58,0.71,0.7,1.41,0.78,0.64,1.13,0.74,1.04,1.09,1.13,2.06,1.02,1.33,1.49,0.95
