,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.91,0.38,0.28,0.34,0.25,0.16,0.3,0.24,0.52,0.25,0.25,0.25,0.3,0.22,0.14,0.2
f_1,0.6,0.91,0.28,0.28,0.24,0.14,0.28,0.21,0.28,0.21,0.15,0.2,0.26,0.14,0.12,0.23
d_1,0.36,0.34,0.91,0.23,0.23,0.17,0.26,0.26,0.21,0.53,0.28,0.3,0.29,0.19,0.19,0.23
c_1,0.31,0.34,0.29,0.9,0.48,0.16,0.28,0.23,0.27,0.15,0.22,0.17,0.29,0.19,0.19,0.23
b_1,0.3,0.35,0.28,0.28,0.89,0.35,0.33,0.26,0.28,0.29,0.27,0.17,0.27,0.17,0.19,0.24
a_1,0.31,0.39,0.32,0.31,0.28,0.88,0.32,0.19,0.27,0.26,0.23,0.25,0.28,0.13,0.16,0.25
h_1,0.37,0.46,0.38,0.31,0.27,0.16,0.64,0.37,0.29,0.29,0.29,0.25,0.22,0.21,0.21,0.3
g_1,0.34,0.33,0.51,0.28,0.24,0.18,0.34,0.61,0.29,0.31,0.44,0.25,0.31,0.23,0.27,0.2
d_0,0.33,0.38,0.25,0.53,0.31,0.18,0.34,0.23,0.49,0.24,0.28,0.25,0.31,0.23,0.21,0.27
c_0,0.41,0.39,0.38,0.23,0.23,0.18,0.33,0.28,0.32,0.51,0.33,0.53,0.33,0.27,0.23,0.32
f_0,0.3,0.31,0.39,0.37,0.29,0.2,0.35,0.29,0.34,0.32,0.51,0.32,0.35,0.25,0.42,0.32
b_0,0.41,0.38,0.41,0.3,0.23,0.14,0.32,0.29,0.29,0.27,0.3,0.48,0.36,0.45,0.25,0.3
h_0,0.37,0.48,0.39,0.32,0.26,0.19,0.23,0.33,0.32,0.26,0.28,0.26,0.23,0.18,0.22,0.34
a_0,0.4,0.4,0.37,0.29,0.27,0.15,0.35,0.28,0.3,0.29,0.3,0.26,0.33,0.43,0.25,0.27
e_0,0.26,0.46,0.39,0.31,0.29,0.16,0.37,0.28,0.32,0.35,0.26,0.3,0.34,0.27,0.42,0.3
g_0,0.31,0.3,0.57,0.35,0.25,0.17,0.32,0.24,0.28,0.33,0.39,0.31,0.33,0.22,0.2,0.21
