,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.66,0.77,0.99,1.17,1.07,0.97,0.48,0.5,0.52,0.35,0.4,0.44,0.43,0.32,0.34,0.47
f_1,1.11,0.66,0.95,1.06,1.07,0.87,0.39,0.38,0.57,0.38,0.34,0.42,0.35,0.24,0.31,0.28
d_1,1.29,1.22,0.64,1.0,0.97,0.94,0.45,0.51,0.32,0.47,0.41,0.37,0.36,0.32,0.24,0.35
c_1,0.93,1.15,1.38,0.63,1.29,0.98,0.56,0.26,0.49,0.41,0.35,0.37,0.34,0.32,0.29,0.36
b_1,1.26,1.36,1.34,0.77,0.6,1.54,0.59,0.44,0.59,0.56,0.62,0.52,0.41,0.45,0.39,0.39
a_1,1.38,1.61,1.45,1.37,0.73,0.56,0.72,0.56,0.63,0.53,0.71,0.55,0.71,0.4,0.52,0.5
h_1,1.73,1.86,1.65,1.6,1.53,1.29,0.56,0.64,0.77,0.58,0.58,0.61,0.58,0.52,0.52,0.57
d_0,1.25,1.87,2.24,2.42,2.13,1.76,0.96,0.58,0.93,0.56,0.67,0.71,0.65,0.52,0.57,0.68
g_1,1.84,1.78,2.32,1.89,1.73,1.57,0.76,0.7,0.52,0.75,0.71,0.82,0.64,0.43,0.74,0.68
c_0,2.26,1.97,1.29,2.7,1.9,1.64,0.95,1.12,0.86,0.58,0.9,0.78,0.76,0.67,0.65,0.63
b_0,1.88,2.28,1.75,2.54,2.51,1.46,0.97,0.86,0.82,0.46,0.56,0.71,0.87,0.64,0.54,0.69
f_0,1.99,2.81,1.97,2.06,1.78,1.63,0.96,0.77,0.58,0.71,0.73,0.54,0.7,0.62,0.46,0.85
a_0,2.09,2.33,2.01,2.65,2.68,2.54,1.05,0.88,0.85,0.69,0.5,0.71,0.53,0.64,0.56,0.81
h_0,2.09,2.36,2.12,2.37,2.0,1.99,1.18,0.91,1.18,0.76,0.81,0.76,0.79,0.81,0.7,0.71
g_0,2.24,2.68,2.45,2.67,2.17,1.62,0.95,0.91,1.06,0.73,0.82,0.84,0.92,0.52,0.74,0.76
e_0,2.56,3.21,2.33,2.26,2.22,2.1,1.02,0.91,0.84,0.85,0.79,0.51,0.74,0.73,0.61,0.55
