,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.5,1.08,0.66,0.78,0.71,0.51,0.78,0.86,0.79,0.72,0.83,0.46,0.76,0.56,0.52,0.76
e_1,0.79,1.51,0.67,0.85,0.59,0.63,0.91,1.43,0.77,0.88,0.75,0.88,0.92,0.77,0.69,0.86
d_1,0.92,0.78,1.54,0.54,0.64,0.62,0.86,0.64,0.72,1.44,0.92,0.79,1.03,0.89,0.85,0.72
c_1,0.78,0.7,0.8,1.57,1.12,0.53,0.89,0.81,0.73,0.48,0.73,0.77,0.97,0.68,0.69,0.73
b_1,0.71,0.86,0.88,0.67,1.62,1.16,0.93,0.86,0.76,0.8,0.56,0.71,0.75,0.54,0.53,0.82
a_1,0.94,0.79,0.9,0.87,0.58,1.75,0.93,0.9,0.89,0.97,1.0,1.1,1.05,0.74,0.96,1.07
h_1,1.33,0.87,1.06,0.97,0.82,0.7,1.75,1.17,1.46,1.11,1.07,0.95,1.0,0.94,1.06,1.29
d_0,1.14,0.87,0.67,1.65,0.98,0.72,1.17,1.63,0.97,0.97,0.96,1.17,1.24,0.88,1.08,1.25
g_1,0.98,0.93,1.45,1.01,0.97,0.73,0.93,1.14,1.82,1.0,1.27,1.6,1.11,1.1,0.99,0.92
c_0,1.19,0.91,0.96,0.93,0.88,0.83,1.33,1.18,1.45,1.69,1.94,1.2,1.32,1.27,1.06,1.26
b_0,1.14,1.17,1.17,1.14,0.68,0.61,1.37,1.34,1.21,1.0,1.67,1.23,1.16,1.95,1.2,1.12
f_0,0.92,0.92,1.33,1.12,1.17,0.77,1.17,1.16,1.12,1.25,1.27,1.71,1.45,1.12,1.86,1.12
h_0,1.42,1.01,1.05,1.05,1.04,0.96,0.99,1.26,1.36,1.22,1.27,1.12,1.11,1.07,1.14,1.44
a_0,1.3,1.08,1.18,1.18,1.14,0.46,1.41,1.31,1.14,1.33,1.07,1.17,1.33,1.75,1.1,1.15
e_0,1.27,0.73,1.21,1.09,1.32,0.86,1.41,1.42,1.34,1.31,1.27,1.04,1.37,0.96,1.83,1.68
g_0,1.01,0.92,1.67,1.16,1.06,0.81,1.28,1.12,1.18,1.22,1.28,1.79,1.24,1.22,1.08,1.11
