,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.06,1.41,2.32,2.97,2.39,2.05,0.84,1.01,0.82,0.69,0.8,0.66,0.49,1.0,0.64,0.66
f_1,2.69,1.06,1.96,2.22,2.14,1.83,0.73,1.03,0.69,0.66,1.08,0.67,0.43,0.59,0.49,0.53
d_1,2.59,2.57,1.06,2.42,2.09,1.95,0.88,0.59,1.39,0.69,0.64,0.73,0.55,0.64,0.41,0.6
c_1,1.99,2.75,2.83,1.06,2.65,2.18,0.88,0.76,0.43,0.75,0.61,0.6,0.52,0.54,0.5,0.53
b_1,2.38,2.74,2.84,1.73,1.06,2.68,1.06,1.01,0.79,0.91,0.68,1.04,0.74,0.72,0.63,0.86
a_1,3.85,4.49,3.71,3.23,2.1,1.07,1.32,1.62,1.1,1.19,1.08,1.04,0.88,0.83,0.72,1.15
h_1,6.02,6.27,5.75,5.96,6.29,4.63,1.35,2.27,1.79,1.72,1.75,1.81,1.92,1.3,1.36,1.39
g_1,6.92,7.15,7.16,7.24,6.84,5.03,2.19,1.34,1.88,1.79,2.37,2.02,1.22,1.72,1.69,1.43
d_0,4.76,8.74,9.07,8.35,6.98,6.35,3.16,2.87,1.55,2.01,2.26,2.09,1.71,1.94,1.78,2.01
c_0,7.57,7.84,4.97,14.13,7.49,5.45,2.72,3.2,2.69,1.56,2.5,2.56,1.88,2.1,1.71,2.0
f_0,6.55,12.01,7.62,7.66,9.38,5.67,3.08,1.89,2.2,1.92,1.51,2.08,1.73,2.66,1.14,2.05
b_0,7.75,7.85,6.6,10.26,12.86,7.3,3.09,2.69,2.97,1.39,2.47,1.55,2.01,2.37,1.91,2.23
h_0,9.45,10.06,10.64,9.78,8.2,8.83,4.74,3.55,2.69,2.55,3.27,2.49,2.76,2.34,2.55,2.2
e_0,12.9,14.25,10.19,10.67,9.33,10.08,4.42,3.43,3.68,3.05,1.66,2.67,2.62,1.53,2.06,2.07
g_0,10.49,13.17,10.48,12.29,11.34,9.0,3.13,5.67,3.38,3.15,3.56,2.87,1.97,3.31,2.87,2.76
a_0,10.97,11.64,10.83,11.55,12.68,11.23,4.58,4.61,3.25,2.8,3.08,1.95,2.74,3.17,2.86,1.65
