,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.52,0.58,0.63,0.78,0.68,0.56,0.76,0.7,1.4,0.81,0.88,0.83,0.91,0.73,0.51,0.8
d_1,0.75,1.54,0.77,0.58,0.63,0.51,0.9,0.7,0.55,1.29,0.89,0.78,0.71,0.78,0.66,0.74
f_1,1.02,0.62,1.53,0.7,0.64,0.53,0.59,0.69,0.69,0.78,0.76,0.57,0.8,0.77,0.59,0.82
c_1,0.68,0.74,0.77,1.56,1.06,0.43,0.72,0.76,0.69,0.43,0.58,0.59,0.84,0.7,0.65,0.65
b_1,0.67,0.74,0.71,0.57,1.59,1.04,0.94,0.81,0.84,0.82,0.43,0.69,0.8,0.52,0.63,0.74
a_1,0.76,0.89,0.7,0.8,0.54,1.73,0.79,0.99,0.87,0.9,1.01,1.01,1.09,0.44,0.77,0.99
h_1,0.89,0.84,1.3,0.9,0.69,0.82,1.75,1.19,1.08,1.03,1.08,0.96,0.89,0.84,0.8,1.19
g_1,0.78,1.28,0.94,0.91,0.84,0.59,1.03,1.77,0.88,1.26,1.05,1.38,1.02,0.76,1.0,0.83
d_0,0.73,0.77,1.0,1.59,0.86,0.65,1.04,1.14,1.57,0.97,1.14,1.09,1.22,0.89,1.0,0.97
c_0,0.95,0.9,0.96,0.8,0.81,0.85,1.16,1.11,1.08,1.57,1.86,1.17,1.25,0.99,1.04,0.98
b_0,0.83,1.0,1.04,1.14,0.71,0.73,1.08,1.13,1.04,0.89,1.65,1.18,1.13,1.53,0.93,0.96
f_0,0.87,1.09,0.74,1.11,0.83,0.79,1.23,0.99,1.2,1.03,1.1,1.66,1.43,0.89,1.74,0.95
h_0,0.84,1.18,1.32,1.07,0.98,0.64,0.88,1.33,1.15,1.04,1.14,0.96,0.96,0.99,0.97,1.38
a_0,0.93,0.92,1.04,1.17,1.1,0.64,1.35,1.39,1.15,1.04,1.21,1.38,1.41,1.69,1.11,1.13
e_0,0.61,1.28,1.25,1.13,0.89,0.63,1.39,0.99,1.26,1.23,1.29,0.99,1.55,1.14,1.76,1.21
g_0,0.94,1.38,1.04,1.12,0.91,0.8,1.06,0.75,1.16,1.22,1.33,1.71,1.21,1.14,0.95,0.9
