,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,2.31,0.26,0.27,0.25,0.36,0.29,0.51,0.93,0.48,0.62,0.53,0.69,0.83,0.75,,0.63
f_1,0.45,2.32,0.3,0.26,0.27,0.29,0.45,0.64,0.57,0.5,0.51,,0.68,0.74,0.57,0.82
c_1,0.32,0.28,2.49,0.38,0.46,0.27,0.65,0.47,,0.4,0.55,0.58,0.71,0.44,0.83,0.81
d_1,0.28,0.28,0.13,2.59,0.28,0.34,0.61,,0.81,0.82,0.5,0.69,0.84,0.56,0.73,0.8
b_1,0.22,0.31,0.25,0.32,2.74,0.49,0.64,0.82,0.54,,0.4,0.68,0.74,0.53,0.52,0.76
a_1,0.21,0.28,0.26,0.23,0.19,3.29,0.57,0.82,0.8,,0.53,0.68,0.99,,0.71,0.64
h_1,0.58,0.74,0.53,0.55,0.46,0.51,3.86,1.2,1.05,1.04,1.09,1.41,,1.1,1.27,1.81
d_0,0.61,0.54,1.12,,0.52,0.48,1.2,3.39,1.53,1.46,1.33,1.1,1.71,1.26,,1.95
c_0,0.71,0.77,,0.67,0.62,0.4,1.3,1.33,3.64,1.83,1.11,1.34,1.8,1.58,1.3,1.52
b_0,0.8,0.68,0.71,0.56,,,1.34,1.36,1.33,4.03,1.17,1.21,1.67,1.92,,1.9
g_1,0.45,0.51,0.47,0.75,0.55,0.58,1.19,1.11,1.3,1.39,4.88,1.42,1.31,,1.13,
f_0,0.45,,0.61,0.53,0.49,0.68,1.1,1.79,1.63,1.71,1.35,4.2,2.17,1.43,2.02,1.45
h_0,0.67,0.88,0.93,0.84,0.57,0.85,,1.6,1.96,1.87,1.85,1.42,,1.73,1.47,2.34
a_0,0.48,0.54,0.7,0.72,0.68,,1.17,1.57,1.29,1.41,,1.61,1.54,4.59,1.43,1.73
e_0,,0.77,0.49,0.61,0.68,0.66,1.33,,1.74,,1.44,1.43,2.21,1.43,4.74,1.47
g_0,0.63,0.6,0.84,0.94,0.89,0.7,1.47,1.45,2.07,1.36,,2.48,2.17,1.62,1.6,
