,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.0,1.24,1.03,1.0,0.98,0.66,0.37,0.45,0.41,0.35,0.37,0.35,0.29,0.26,0.35,0.23
e_1,0.81,1.0,0.95,0.85,0.88,0.68,0.53,0.45,0.64,0.45,0.45,0.45,0.36,0.36,0.3,0.33
d_1,0.97,1.05,1.0,0.92,0.85,0.79,0.52,0.33,0.41,0.59,0.46,0.39,0.33,0.44,0.24,0.38
c_1,1.0,1.18,1.08,1.0,1.27,0.79,0.45,0.43,0.3,0.35,0.36,0.36,0.37,0.35,0.32,0.27
b_1,1.02,1.14,1.18,0.79,1.0,1.29,0.63,0.53,0.52,0.46,0.37,0.47,0.37,0.41,0.35,0.35
a_1,1.52,1.47,1.26,1.26,0.77,1.0,0.8,0.72,0.55,0.62,0.49,0.4,0.61,0.53,0.37,0.4
h_1,2.72,1.8,1.97,2.12,1.6,1.26,1.0,1.08,0.92,0.93,0.71,0.72,0.63,0.83,0.75,0.66
g_1,2.23,2.11,2.95,2.41,1.79,1.43,0.95,1.0,0.75,0.84,0.81,0.9,0.61,0.61,0.81,0.7
d_0,2.59,1.54,2.32,3.47,1.94,1.82,1.1,1.26,1.0,0.99,0.87,0.82,0.81,0.89,0.66,0.65
c_0,3.1,2.15,1.67,3.02,2.08,1.62,1.04,1.29,1.02,1.0,1.59,0.95,0.94,0.85,0.72,0.63
b_0,2.82,2.13,2.09,2.92,2.53,1.87,1.4,1.14,1.17,0.66,1.0,0.83,1.4,1.02,0.96,0.77
f_0,2.99,2.07,2.76,2.69,2.0,2.65,1.44,1.01,1.17,1.09,1.16,1.0,0.95,0.92,0.75,1.58
a_0,3.67,2.7,2.92,3.04,2.81,,1.58,1.57,1.19,1.02,0.86,1.04,1.0,0.96,0.87,0.72
h_0,3.93,2.67,2.37,2.96,2.45,1.95,1.22,1.66,1.09,1.17,1.01,1.11,1.02,1.0,1.15,0.88
g_0,2.83,3.07,4.0,3.21,2.78,2.61,1.34,1.31,1.5,1.39,1.12,1.45,1.19,0.88,1.0,0.98
e_0,4.81,2.89,2.72,3.62,2.7,2.4,1.41,1.22,1.39,1.51,1.28,0.63,1.31,1.15,0.99,1.0
