,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.78,1.24,0.93,1.02,0.99,1.15,1.37,0.9,0.97,1.02,1.17,1.05,1.08,1.03,1.12
f_1,1.29,1.0,0.91,0.9,0.94,1.05,0.8,0.96,0.93,1.01,1.0,0.86,0.9,0.8,0.84,1.04
c_1,0.81,1.09,1.0,1.2,1.17,0.89,1.02,0.69,0.9,0.97,0.87,0.97,0.86,1.04,1.02,1.0
d_1,1.08,1.12,0.82,1.0,0.99,0.93,1.05,0.96,1.24,0.91,1.12,1.05,1.04,1.05,1.03,0.77
b_1,0.97,1.07,0.86,1.0,1.0,1.3,1.04,0.96,1.07,0.97,0.87,0.92,0.93,1.04,1.01,1.07
a_1,1.01,0.95,1.12,1.07,0.77,1.0,1.15,1.12,0.99,1.12,1.03,0.99,1.2,1.12,1.19,1.23
h_1,0.92,1.27,0.97,0.97,0.95,0.83,1.0,1.02,0.94,1.25,1.03,0.99,1.0,1.1,0.95,1.11
d_0,0.71,1.01,1.52,1.12,1.08,0.87,0.96,1.0,0.92,1.22,0.89,0.91,0.96,1.02,0.92,1.03
c_0,1.07,1.09,1.07,0.78,0.91,1.01,1.04,1.07,1.0,1.14,1.34,1.08,1.0,1.0,0.84,0.94
g_1,1.0,0.97,1.04,1.16,1.03,0.89,0.79,0.81,0.92,1.0,0.91,1.21,1.06,0.83,1.03,0.89
b_0,0.95,1.0,1.13,0.9,1.05,1.08,0.99,1.13,0.78,1.07,1.0,0.97,1.43,0.92,1.01,1.05
f_0,0.78,1.13,1.05,1.02,1.06,0.98,1.1,1.05,0.92,0.81,1.06,1.0,1.08,1.2,1.42,0.75
a_0,0.93,1.02,1.17,0.97,1.08,0.93,1.03,1.06,0.97,0.94,0.72,0.92,1.0,1.05,1.03,0.94
h_0,0.94,1.24,0.96,0.99,0.93,0.91,0.9,0.93,1.02,1.2,1.02,0.85,0.94,1.0,0.94,1.14
e_0,1.0,1.19,0.93,0.99,1.03,0.83,1.02,1.04,1.13,0.99,1.06,0.71,1.03,1.06,1.0,1.05
g_0,0.89,0.97,0.96,1.35,0.95,0.86,0.89,0.92,1.09,1.18,0.9,1.27,1.03,0.85,0.95,1.0
