,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,0.91,1.25,1.05,1.05,0.84,0.89,0.83,0.98,1.05,0.98,1.02,0.97,1.0,0.93,1.07
d_1,1.09,1.0,0.92,0.93,0.94,0.95,1.11,0.87,1.32,1.28,0.97,1.11,0.96,1.05,0.93,0.95
e_1,0.8,1.08,1.0,1.04,1.0,0.86,1.02,1.15,1.05,1.41,0.96,1.06,1.05,0.89,1.13,0.85
c_1,0.95,1.07,0.96,1.0,1.23,1.17,0.93,0.95,0.93,0.75,0.8,0.97,0.92,0.96,1.0,1.03
b_1,0.95,1.06,1.0,0.82,1.0,1.39,1.02,0.99,0.91,1.0,1.1,0.89,1.1,0.88,0.95,1.06
a_1,1.19,1.06,1.17,0.85,0.72,1.0,1.11,1.09,0.93,0.97,1.44,0.91,1.03,1.18,1.04,0.72
h_1,1.18,0.92,0.96,1.08,0.95,0.93,1.0,1.14,1.03,0.95,1.02,0.94,0.89,0.91,1.1,0.99
g_1,1.19,1.16,0.82,1.06,1.0,0.89,0.87,1.0,0.9,0.76,0.95,1.09,0.93,1.03,0.82,0.88
c_0,1.09,0.76,0.91,1.03,1.08,1.11,1.01,1.1,1.0,1.07,1.46,1.09,1.04,1.06,0.94,1.04
d_0,0.96,0.82,0.68,1.35,1.02,1.06,1.09,1.38,0.85,1.0,1.1,1.06,1.04,0.96,1.02,1.25
b_0,1.01,1.0,0.97,1.37,0.98,0.78,1.0,0.99,0.64,0.9,1.0,0.94,1.07,1.64,1.07,1.04
f_0,0.92,0.93,0.91,1.04,1.12,1.17,1.05,0.89,0.92,0.94,1.01,1.0,1.03,0.89,0.91,1.44
h_0,1.06,1.01,0.93,1.1,0.92,0.99,1.08,1.11,0.91,1.01,0.92,0.93,1.0,0.9,1.26,0.94
a_0,1.11,0.98,1.04,1.11,1.06,0.77,1.01,0.99,0.93,1.15,0.63,1.09,1.15,1.0,1.11,0.9
g_0,1.08,1.08,0.88,1.05,0.99,0.91,0.9,1.16,1.04,1.04,0.94,1.1,0.8,0.92,1.0,0.97
e_0,0.95,1.03,1.3,0.95,0.85,1.27,1.08,1.19,0.93,0.82,0.97,0.72,1.09,1.22,1.02,1.0
