,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,11.78,0.65,0.58,0.87,0.67,0.56,0.93,0.93,2.06,0.86,0.97,0.98,0.88,0.99,0.72,1.0
f_1,1.77,12.03,0.63,0.6,0.51,0.53,0.89,0.82,0.92,0.72,0.6,0.92,0.91,0.99,0.51,0.76
d_1,0.54,0.73,15.62,0.5,0.58,0.72,0.93,0.87,0.47,2.56,0.93,1.21,0.97,1.02,1.22,0.96
c_1,0.55,0.62,0.66,15.26,1.6,0.61,0.95,0.81,0.85,0.48,0.79,0.57,0.99,0.73,0.83,1.01
b_1,0.53,0.63,0.59,0.65,15.47,1.58,0.9,0.91,0.85,0.88,1.07,0.63,0.97,0.72,1.03,0.84
a_1,0.61,0.73,0.69,0.68,0.59,22.37,0.89,0.91,1.05,0.96,1.05,1.04,1.36,0.74,0.76,0.96
h_1,0.59,1.14,0.93,0.59,0.73,0.68,3.53,1.6,0.83,1.05,1.05,1.13,0.71,1.14,1.27,1.5
g_1,0.57,0.61,1.59,0.77,0.64,0.67,0.83,4.43,0.79,1.14,2.15,1.18,1.12,1.12,1.49,0.98
d_0,0.58,0.69,0.42,2.52,0.81,0.68,0.98,0.98,2.57,0.64,1.07,1.09,0.94,0.96,1.09,1.18
c_0,0.73,0.9,0.78,0.48,0.47,1.01,1.2,1.11,1.09,2.42,1.18,3.83,1.21,1.67,1.75,1.4
f_0,0.51,0.6,0.99,0.86,0.73,0.77,1.15,1.32,1.02,1.22,2.96,1.39,1.38,1.2,3.88,1.26
b_0,0.81,0.93,0.85,0.9,0.4,0.57,1.17,1.15,0.96,0.91,1.54,2.86,1.28,3.3,1.31,1.48
h_0,0.67,1.31,0.83,0.84,0.73,0.64,0.84,1.55,0.81,0.85,1.18,1.01,0.7,0.98,1.18,1.75
a_0,0.65,1.01,0.97,0.67,0.78,0.32,1.29,1.12,0.85,1.05,1.49,1.05,1.68,3.36,1.55,1.44
e_0,0.47,0.76,0.96,0.91,0.82,0.78,1.25,1.4,0.88,1.05,0.96,1.3,1.13,1.17,3.64,1.24
g_0,0.52,0.58,1.66,0.81,0.72,0.76,1.25,0.96,0.84,1.07,2.1,1.01,1.18,1.01,1.45,0.92
