,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.82,0.9,1.04,0.88,0.86,0.69,0.75,0.94,0.68,0.7,0.75,0.61,0.69,0.6,0.79
f_1,1.21,1.0,0.97,0.96,0.82,0.88,0.65,0.78,0.65,0.56,0.62,0.56,0.58,0.45,0.64,0.4
d_1,1.1,1.04,1.0,0.92,0.93,0.86,0.76,0.58,0.6,0.84,0.72,0.6,0.56,0.59,0.46,0.5
c_1,0.96,1.05,1.09,1.0,1.32,0.65,0.71,0.61,0.49,0.57,0.53,0.58,0.59,0.64,0.62,0.55
b_1,1.12,1.22,1.07,0.76,1.0,1.29,0.71,0.7,0.65,0.71,0.68,0.74,0.62,0.64,0.54,0.53
a_1,1.18,1.15,1.18,1.53,0.77,1.0,1.12,0.8,0.83,0.75,0.76,0.74,0.71,0.77,0.69,0.79
h_1,1.45,1.55,1.34,1.4,1.46,0.87,1.0,1.12,0.94,0.98,0.94,0.82,0.81,0.92,0.93,0.8
g_1,1.34,1.33,1.67,1.6,1.36,1.24,0.9,1.0,0.87,0.99,0.84,1.07,0.81,0.73,0.73,0.89
d_0,1.05,1.55,1.66,2.0,1.42,1.19,1.07,1.18,1.0,0.82,0.96,0.99,0.84,0.98,0.83,0.92
c_0,1.38,1.84,1.17,1.76,1.31,1.3,1.02,1.05,1.18,1.0,1.36,1.05,1.0,1.02,0.79,0.83
b_0,1.46,1.61,1.38,1.94,1.52,1.28,1.08,1.2,1.01,0.72,1.0,1.03,1.26,1.05,0.97,0.89
f_0,1.28,1.75,1.71,1.69,1.46,1.3,1.26,0.93,1.02,0.97,0.98,1.0,0.98,1.07,0.67,1.27
a_0,1.64,1.71,1.83,1.64,1.58,1.33,1.23,1.28,1.16,0.94,0.86,1.04,1.0,0.88,0.96,1.04
h_0,1.47,2.17,1.71,1.6,1.57,1.25,1.07,1.37,1.01,0.99,0.99,0.93,1.07,1.01,1.05,0.86
g_0,1.63,1.62,2.2,1.59,1.82,1.4,1.09,1.39,1.21,1.18,1.01,1.46,1.02,0.98,1.0,1.02
e_0,1.38,2.55,1.95,1.94,1.73,1.33,1.3,1.12,1.08,1.19,1.08,0.8,0.96,1.03,0.94,1.0
