,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.49,0.29,0.15,0.18,0.14,0.12,0.17,0.21,0.23,0.18,,0.19,0.13,0.19,0.14,0.23
e_1,0.12,1.49,0.15,0.18,0.2,0.14,0.18,0.31,0.18,0.22,0.18,0.18,0.15,0.25,,0.18
d_1,0.17,0.23,1.53,0.17,0.13,0.13,0.15,,0.14,0.41,0.18,0.19,0.15,0.18,0.18,0.19
c_1,0.18,0.12,0.14,1.54,0.29,0.12,0.24,0.22,0.15,,0.18,0.17,0.18,0.21,0.2,0.21
b_1,0.21,0.13,0.18,0.13,1.58,0.25,0.19,0.22,0.17,0.18,0.25,,0.17,0.21,0.2,0.19
a_1,0.22,0.18,0.18,0.18,0.15,1.76,0.25,0.25,0.18,0.24,0.17,0.26,,0.18,0.18,0.2
h_1,0.45,0.44,0.44,0.35,0.42,0.27,1.61,0.48,0.47,0.47,0.33,0.4,0.36,,0.31,0.63
d_0,0.55,0.41,,0.68,0.34,0.3,0.61,1.39,0.46,0.66,0.57,0.39,0.5,0.59,0.56,0.52
g_1,0.26,0.39,0.64,0.38,0.33,0.39,0.46,0.5,1.74,0.39,0.46,0.6,0.41,0.54,0.33,
c_0,0.6,0.44,0.25,,0.4,0.28,0.65,0.42,0.58,1.43,0.63,0.85,0.59,0.7,0.37,0.55
f_0,,0.43,0.53,0.55,0.36,0.39,0.67,0.61,0.54,0.56,1.45,0.6,0.44,0.64,0.65,0.44
b_0,0.52,0.48,0.57,0.52,,0.27,0.66,0.65,0.34,0.46,0.47,1.49,0.95,0.49,0.4,0.49
a_0,0.61,0.69,0.56,0.36,0.47,,0.62,0.59,0.62,0.47,0.67,0.37,1.55,,,0.53
h_0,0.7,0.59,0.68,0.66,0.6,0.55,,0.7,0.77,0.68,0.67,0.67,,,0.68,0.79
e_0,0.61,,0.48,0.48,0.51,0.46,0.68,0.6,0.5,0.67,0.65,0.52,,0.58,1.61,
g_0,0.55,0.55,0.89,0.49,0.53,0.44,0.66,0.71,,0.57,1.09,0.8,0.62,0.86,,
