,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,5.88,0.07,0.16,0.09,0.06,0.1,0.32,0.26,0.36,0.34,,0.43,0.54,0.49,0.46,
d_1,0.1,5.95,0.08,0.06,0.07,,0.27,0.33,,0.71,0.41,0.47,0.78,0.52,0.37,0.28
e_1,0.07,0.05,6.02,0.07,0.08,0.08,0.32,0.23,0.61,0.44,0.4,0.41,0.75,0.58,0.23,
c_1,0.08,0.08,0.07,6.39,0.15,,0.28,0.23,0.47,,0.37,0.35,0.63,0.53,0.39,0.49
b_1,0.09,0.08,0.07,0.09,7.09,0.13,0.29,0.24,0.38,0.38,0.39,,0.6,0.57,,0.45
a_1,0.06,,0.07,,0.08,10.84,0.31,0.25,0.36,0.5,0.39,0.38,0.59,,,
h_1,0.43,0.22,0.26,0.34,0.25,0.25,13.99,1.46,1.44,1.17,1.27,1.32,,3.37,1.41,1.94
g_1,0.24,0.37,0.3,0.28,0.22,0.27,0.77,17.34,1.53,1.85,2.3,1.5,2.13,,1.17,1.6
d_0,0.39,,0.43,0.68,0.37,0.46,1.78,1.63,12.71,1.7,1.02,1.78,2.58,2.54,1.94,1.79
c_0,0.19,0.37,0.3,,0.4,0.5,1.82,1.68,1.95,12.91,2.45,3.24,3.5,2.69,2.36,1.97
f_0,,0.36,0.33,0.37,0.49,0.41,1.51,1.21,1.4,2.31,14.18,2.29,2.47,3.26,2.0,4.12
b_0,0.45,0.52,0.29,0.39,,0.38,1.42,1.11,2.54,1.36,1.74,14.38,3.41,2.67,3.3,2.61
h_0,1.04,0.58,0.52,0.45,0.64,0.56,,3.44,2.23,2.46,3.36,2.03,,5.61,2.23,2.45
g_0,0.51,1.03,0.52,0.61,0.44,,2.25,,3.03,3.44,4.04,3.03,2.58,,2.35,2.79
a_0,0.32,0.35,0.41,0.46,,,1.81,1.66,1.53,1.46,2.24,1.52,3.34,2.89,22.91,
e_0,,0.52,,0.3,0.28,,1.7,1.5,1.89,1.97,1.45,2.35,3.44,3.53,,22.45
