,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,9.56,0.72,0.62,0.98,0.69,0.59,0.89,0.85,2.24,0.89,1.0,0.94,0.93,1.03,1.03,0.7
f_1,1.72,10.26,0.64,0.65,0.57,0.65,0.76,0.83,1.01,0.79,0.99,0.56,0.91,0.9,0.81,0.67
d_1,0.67,0.76,13.13,0.57,0.54,0.69,1.19,0.98,0.57,2.65,1.37,1.08,1.05,1.04,1.08,1.11
c_1,0.53,0.61,0.67,12.93,1.92,0.73,0.88,0.93,0.9,0.57,0.57,0.96,0.85,0.94,0.78,0.93
b_1,0.58,0.78,0.69,0.59,13.67,1.82,0.88,0.89,0.68,0.85,0.62,0.99,0.99,0.69,0.85,0.98
a_1,0.67,0.77,0.87,0.69,0.7,20.84,1.04,0.76,0.94,1.01,0.84,1.09,1.3,0.64,1.16,1.13
h_1,0.77,1.16,0.94,0.71,0.75,0.63,3.26,1.64,0.97,0.78,1.24,1.0,0.77,1.18,1.52,1.1
g_1,0.55,0.68,1.64,0.73,0.67,0.75,1.23,4.07,0.68,0.87,1.2,2.13,1.14,1.09,1.02,1.37
d_0,0.69,0.76,0.5,2.42,0.99,0.65,0.98,0.92,1.84,0.67,0.93,0.99,1.28,0.96,1.07,1.11
c_0,0.84,0.93,0.82,0.7,0.57,0.81,1.09,1.15,1.07,2.03,2.87,0.99,1.17,1.24,1.16,1.38
b_0,0.78,0.82,0.99,0.97,0.46,0.4,1.35,1.64,1.02,0.95,2.59,1.32,1.09,3.04,1.4,1.38
f_0,0.54,0.57,0.99,0.99,0.79,0.74,1.2,1.25,0.88,1.07,1.16,2.96,1.48,1.31,1.47,3.02
h_0,0.7,1.33,0.93,0.65,0.68,0.77,0.69,1.67,0.74,0.96,1.15,1.08,0.68,1.08,1.77,1.08
a_0,0.8,0.84,0.99,0.98,0.71,0.46,1.25,1.1,1.07,1.09,1.46,1.38,1.42,3.25,1.14,1.13
g_0,0.66,0.76,1.71,0.81,0.55,0.78,0.92,0.96,0.73,1.07,1.29,1.96,1.03,1.11,0.98,1.28
e_0,0.43,0.81,1.09,0.88,0.83,0.84,1.41,1.34,0.94,1.01,1.21,1.18,1.25,1.15,1.09,3.05
