,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.75,1.04,0.91,0.93,0.79,0.78,0.63,0.67,1.0,0.66,0.65,0.61,0.55,0.57,0.64
f_1,1.34,1.0,1.01,0.9,0.81,0.97,0.55,0.67,0.55,0.56,0.63,0.49,0.47,0.53,0.46,0.53
d_1,0.96,0.99,1.0,1.01,0.85,0.96,0.75,0.98,0.6,0.65,0.58,0.62,0.62,0.54,0.65,0.42
c_1,1.1,1.12,0.99,1.0,1.3,0.79,0.71,0.62,0.79,0.46,0.65,0.68,0.6,0.57,0.6,0.64
b_1,1.08,1.23,1.17,0.77,1.0,1.42,0.9,0.68,0.55,0.72,0.43,0.69,0.66,0.58,0.63,0.64
a_1,1.27,1.03,1.05,1.26,0.7,1.0,0.92,0.77,0.74,0.67,0.94,0.78,0.84,,0.71,0.81
h_1,1.25,1.84,1.34,1.44,1.15,1.03,1.0,0.79,1.19,0.99,0.98,0.95,0.87,0.8,0.79,1.03
c_0,1.56,1.68,1.07,1.49,1.36,1.32,1.25,1.0,1.19,0.97,1.35,0.99,1.11,1.1,0.95,0.94
g_1,1.38,1.76,1.67,1.28,1.9,1.3,0.83,0.88,1.0,0.88,0.92,1.01,0.71,0.87,0.72,0.69
d_0,1.01,1.83,1.48,2.21,1.41,1.38,0.97,1.02,1.13,1.0,1.08,0.84,1.06,0.82,0.87,0.98
b_0,1.45,1.59,1.71,1.56,2.67,0.91,1.08,0.77,1.04,0.96,1.0,1.04,0.8,1.45,0.91,0.84
f_0,1.44,2.04,1.62,1.57,1.42,1.34,1.09,1.04,0.97,1.1,0.9,1.0,0.97,1.14,1.26,0.82
h_0,1.58,2.04,1.65,1.65,1.55,1.14,1.13,0.9,1.42,0.93,1.22,1.0,1.0,0.83,0.8,1.0
a_0,1.75,1.88,1.89,1.96,1.7,,1.22,0.97,1.1,1.25,0.71,0.93,1.26,1.0,0.93,0.92
e_0,1.53,2.27,1.56,1.69,1.53,1.4,1.27,1.11,1.39,1.15,1.11,0.8,1.26,1.01,1.0,0.93
g_0,1.51,1.88,2.34,1.58,1.53,1.15,0.96,1.04,1.48,1.01,1.15,1.25,0.97,1.05,1.01,1.0
