,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.66,0.96,0.96,0.85,0.89,0.77,0.35,0.35,0.4,0.3,0.3,0.35,0.23,0.29,0.29,0.29
e_1,0.72,0.66,1.02,0.85,0.95,0.89,0.44,0.44,0.5,0.34,0.32,0.45,0.29,0.39,0.32,0.3
c_1,0.94,0.85,0.64,1.21,1.06,0.87,0.44,0.25,0.43,0.36,0.33,0.32,0.25,0.3,0.3,0.26
d_1,1.13,1.17,0.91,0.62,0.93,0.81,0.46,0.47,0.31,0.42,0.4,0.34,0.31,0.34,0.41,0.22
b_1,1.12,1.08,0.73,1.14,0.61,1.15,0.48,0.38,0.42,0.52,0.42,0.37,0.3,0.32,0.32,0.29
a_1,1.32,1.3,1.08,1.32,0.7,0.57,0.58,0.53,0.55,0.46,0.59,0.41,0.4,0.4,0.46,0.35
h_1,1.62,1.51,1.59,1.39,1.59,1.26,0.54,0.56,0.7,0.53,0.53,0.55,0.48,0.48,0.51,0.43
d_0,1.59,1.19,2.09,2.03,1.82,1.41,0.83,0.56,0.89,0.59,0.57,0.56,0.52,0.7,0.55,0.51
g_1,1.78,1.5,1.74,1.92,1.83,1.44,0.67,0.61,0.51,0.6,0.59,0.64,0.42,0.61,0.48,0.47
c_0,2.05,1.85,2.38,1.2,1.61,1.72,0.8,0.9,0.74,0.55,0.81,0.68,0.54,0.58,0.69,0.49
b_0,1.96,1.8,2.38,1.51,2.12,1.41,0.89,0.78,0.85,0.44,0.54,0.64,0.5,0.61,0.71,0.5
f_0,2.23,1.69,2.13,1.89,1.75,1.62,0.81,0.76,0.65,0.64,0.67,0.52,0.53,0.72,0.57,0.37
h_0,2.29,2.01,2.37,1.98,1.97,1.56,1.11,0.75,0.97,0.74,0.73,0.69,0.71,0.67,0.6,0.63
e_0,2.5,2.24,2.3,2.0,2.07,1.74,0.92,0.73,0.83,0.79,0.76,0.49,0.58,0.51,0.71,0.51
a_0,2.18,2.1,2.38,1.98,2.54,2.07,1.05,0.79,0.99,0.63,0.51,0.81,0.7,0.72,0.52,0.6
g_0,2.5,2.26,2.37,2.3,2.07,1.73,0.9,0.9,1.07,0.86,0.79,0.81,0.54,0.71,0.74,0.65
