,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,0.92,1.2,1.04,0.96,0.89,0.88,0.94,0.97,1.04,0.97,0.91,0.95,1.03,0.98,0.86
d_1,1.1,1.0,1.01,0.88,0.96,0.92,1.05,0.87,1.23,1.14,1.05,1.03,0.96,1.09,0.94,0.95
e_1,0.84,0.97,1.0,1.18,1.01,0.94,1.02,1.15,1.02,1.38,1.06,1.13,1.12,0.94,1.08,1.03
c_1,0.95,1.13,0.86,1.0,1.39,0.97,0.98,1.0,0.85,0.69,0.73,0.92,0.94,0.87,1.01,1.01
b_1,1.05,1.0,1.0,0.75,1.0,1.44,1.04,0.99,0.98,0.93,1.07,1.02,0.99,0.89,0.97,1.02
a_1,1.13,1.09,1.08,1.03,0.7,1.0,1.1,1.18,0.96,1.0,1.31,0.97,1.09,1.12,1.07,0.95
h_1,1.15,0.94,1.0,1.03,0.97,0.92,1.0,1.09,0.99,0.93,0.92,0.95,0.98,0.95,1.12,0.94
g_1,1.03,1.16,0.84,0.98,1.03,0.84,0.91,1.0,1.01,0.84,0.99,1.16,0.96,0.95,0.95,1.17
c_0,1.06,0.83,0.94,1.23,0.94,0.99,1.04,1.01,1.0,1.1,1.4,1.06,1.04,1.21,0.94,1.07
d_0,0.92,0.88,0.72,1.46,1.09,1.03,1.07,1.2,0.85,1.0,0.96,1.0,1.0,0.96,1.05,1.11
b_0,1.0,0.94,0.95,1.28,0.9,0.79,1.09,0.94,0.73,1.01,1.0,1.04,1.07,1.51,1.02,1.0
f_0,1.08,1.0,0.9,1.08,0.94,1.03,1.06,0.83,0.94,0.99,0.91,1.0,1.05,0.93,0.86,1.48
h_0,1.06,1.05,0.9,1.07,1.02,0.9,1.01,1.06,0.95,0.97,0.98,0.93,1.0,0.97,1.22,0.96
a_0,0.99,0.94,0.98,1.08,1.13,0.93,1.01,1.04,0.83,1.01,0.71,1.06,1.04,1.0,0.95,1.16
g_0,1.04,1.07,0.94,0.99,1.12,0.92,0.89,1.03,1.04,1.0,0.92,1.17,0.81,1.06,1.0,1.04
e_0,1.09,1.09,1.03,1.0,0.98,0.99,1.09,0.87,0.91,0.88,1.05,0.68,0.98,0.95,0.93,1.0
