,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.04,1.51,1.29,1.51,1.45,1.14,0.45,0.45,0.56,0.41,0.39,0.4,0.26,0.32,0.32,0.33
e_1,1.16,1.04,1.41,1.64,1.37,1.23,0.61,0.56,0.56,0.47,0.39,0.5,0.36,0.41,0.48,0.36
d_1,1.87,1.81,1.04,1.54,1.33,1.23,0.55,0.62,0.4,0.51,0.43,0.36,0.35,0.37,0.37,0.24
c_1,1.62,1.45,2.14,1.04,1.74,1.33,0.67,0.35,0.6,0.57,0.45,0.45,0.37,0.4,0.44,0.37
b_1,1.91,2.03,2.1,1.27,1.05,1.89,0.77,0.51,0.66,0.64,0.62,0.48,0.42,0.46,0.44,0.39
a_1,2.75,2.5,2.45,2.48,1.35,1.06,1.03,0.83,0.92,0.77,1.01,0.69,0.55,0.89,0.71,0.52
h_1,4.62,3.98,4.12,4.09,3.8,3.19,1.23,1.32,1.71,1.24,1.09,1.05,1.02,0.99,1.07,0.93
d_0,4.96,3.53,5.49,5.76,5.48,4.25,1.99,1.32,1.92,1.48,1.32,1.44,1.16,1.35,1.39,1.19
g_1,5.35,5.11,5.34,5.12,4.45,3.83,1.55,1.71,1.26,1.4,1.44,1.34,0.98,1.28,1.29,1.07
c_0,6.05,5.48,3.8,6.42,5.32,4.11,2.08,2.12,1.88,1.31,1.62,1.4,1.18,1.32,1.28,1.09
b_0,6.99,6.18,5.43,7.28,7.59,4.33,2.47,2.05,2.15,1.28,1.39,1.66,1.34,1.69,1.44,1.23
f_0,9.14,6.48,7.24,7.62,6.06,4.72,2.83,2.07,1.79,2.03,1.91,1.41,1.5,1.64,1.81,1.06
h_0,9.33,7.71,7.11,7.12,7.14,5.64,3.27,2.37,2.76,2.2,2.0,1.76,1.8,1.77,1.9,1.54
a_0,9.49,8.04,6.96,8.15,8.37,6.45,3.36,2.67,2.64,2.12,1.45,2.02,1.79,1.47,2.11,1.46
e_0,10.52,8.38,7.62,8.35,7.76,5.81,2.93,2.33,2.56,2.25,2.24,1.38,1.68,1.99,1.46,1.75
g_0,9.58,8.9,9.55,9.0,8.3,6.97,2.96,2.8,3.83,2.65,2.57,2.45,1.84,2.5,2.06,1.89
