,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.43,0.94,2.47,2.82,2.19,2.27,0.78,0.45,0.68,0.37,0.54,0.47,0.34,0.86,0.34,0.4
f_1,1.97,0.43,1.72,2.36,2.36,1.53,0.42,0.52,0.65,0.4,0.95,0.32,0.22,0.36,0.44,0.35
d_1,2.58,2.35,0.41,2.23,1.95,1.86,0.56,0.97,0.4,0.39,0.4,0.49,0.31,0.47,0.41,0.18
c_1,1.58,3.11,2.61,0.42,1.99,2.02,0.54,0.23,0.56,0.94,0.39,0.43,0.31,0.38,0.38,0.33
b_1,2.34,3.09,2.16,1.07,0.39,2.77,0.7,0.51,0.7,0.71,0.42,1.36,0.37,0.46,0.51,0.34
a_1,2.9,3.25,2.87,2.85,1.32,0.33,0.96,0.68,0.85,0.66,0.47,0.97,0.4,0.61,1.42,0.47
h_1,3.13,3.44,3.19,3.02,3.52,3.69,0.34,0.68,0.98,0.7,0.74,0.62,0.65,0.63,0.5,0.49
d_0,1.93,3.81,7.2,3.65,3.77,3.5,1.12,0.41,1.33,0.72,0.82,0.74,0.49,0.76,0.77,0.59
g_1,4.08,3.98,3.29,4.17,4.49,3.5,0.7,0.74,0.31,0.86,0.78,0.63,0.37,0.61,0.61,0.83
c_0,3.9,3.19,1.83,9.92,3.89,6.1,1.19,1.17,1.2,0.38,0.88,0.72,0.52,0.71,0.59,0.47
f_0,3.57,7.83,4.21,3.92,3.81,3.91,1.15,0.74,0.7,0.81,0.36,0.86,0.53,0.84,0.83,0.33
b_0,3.27,4.01,3.39,6.06,7.35,4.31,1.05,0.69,1.37,0.45,0.8,0.34,0.61,0.93,0.71,0.61
h_0,4.75,4.06,4.77,4.43,4.19,3.29,2.13,0.94,1.36,0.95,1.06,1.07,1.03,0.71,0.96,0.63
e_0,6.89,7.13,4.7,5.18,4.18,4.12,1.46,1.07,1.44,1.1,0.48,0.81,0.73,0.32,1.09,0.64
a_0,5.18,4.14,5.44,6.17,7.08,6.43,1.17,0.92,1.43,0.99,0.83,0.47,0.88,0.68,0.35,0.56
g_0,5.3,5.84,4.96,4.79,4.79,5.26,0.93,1.04,2.37,0.96,1.04,0.94,0.56,0.84,0.98,1.12
