,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,22.79,0.65,0.32,0.28,0.29,0.33,0.74,0.58,0.8,0.77,0.84,0.21,0.92,0.89,0.74,0.84
e_1,0.33,23.53,0.26,0.37,0.4,0.34,0.59,0.56,1.75,0.84,0.87,1.0,0.86,0.81,0.27,0.85
d_1,0.31,0.29,27.86,0.34,0.37,0.34,0.87,0.75,0.17,1.32,0.85,0.81,1.03,0.91,0.77,0.96
c_1,0.34,0.27,0.37,29.22,0.68,0.24,0.81,0.73,0.7,0.08,0.67,0.86,0.98,0.83,0.82,0.77
b_1,0.31,0.36,0.33,0.39,32.01,0.86,0.64,0.7,0.62,0.72,0.16,0.75,0.74,0.44,0.74,0.77
a_1,0.29,0.38,0.43,0.35,0.31,47.93,0.7,0.44,0.77,1.04,0.68,0.6,0.9,0.11,0.94,1.01
h_1,1.17,0.4,0.75,0.48,0.67,0.52,9.1,2.0,0.95,1.41,1.51,1.07,0.5,1.24,1.41,2.29
g_1,0.58,0.59,1.32,0.63,0.32,0.61,1.32,11.89,1.0,1.34,1.13,2.64,1.39,1.33,1.94,0.61
d_0,0.68,0.68,0.24,1.58,0.64,0.47,1.16,1.17,5.29,1.23,1.9,1.48,1.41,1.36,1.24,1.47
c_0,0.74,0.63,0.6,0.33,0.58,0.64,1.59,1.48,1.98,5.75,3.9,2.0,1.59,1.6,1.9,1.75
b_0,0.99,0.63,0.67,0.64,0.12,0.59,1.54,1.43,1.4,1.72,6.19,1.69,1.53,3.66,1.43,1.52
f_0,0.19,0.46,0.71,0.87,0.73,0.74,1.89,1.8,2.0,1.85,1.76,7.34,1.91,1.89,4.41,1.7
h_0,1.05,0.46,0.78,0.77,0.44,0.56,0.61,2.15,1.31,1.21,1.52,1.51,0.53,1.55,1.6,1.84
a_0,0.95,0.65,0.65,0.79,0.55,,1.21,2.05,1.25,1.29,1.63,1.45,1.74,9.24,1.01,1.13
e_0,0.82,0.24,0.6,0.74,0.54,0.66,1.55,2.17,1.86,2.0,1.95,2.21,2.03,1.36,9.93,1.84
g_0,0.56,0.45,1.3,0.69,0.64,0.5,0.93,1.05,1.12,1.51,1.29,2.47,1.76,1.15,1.34,0.44
