,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.5,0.47,0.38,0.52,0.4,0.39,0.56,0.88,0.44,0.48,0.54,0.53,0.61,0.49,0.34,0.66
f_1,0.68,1.51,0.45,0.52,0.41,0.4,0.4,0.57,0.52,0.49,0.51,0.18,0.51,0.36,0.4,0.47
d_1,0.48,0.52,1.54,0.37,0.49,0.35,0.57,0.35,0.5,0.94,0.6,0.49,0.66,0.39,0.53,0.48
c_1,0.44,0.41,0.57,1.54,0.61,0.34,0.59,0.48,0.55,0.27,0.46,0.62,0.68,0.46,0.44,0.45
b_1,0.5,0.46,0.52,0.41,1.6,0.63,0.54,0.59,0.45,0.5,0.23,0.54,0.54,0.43,0.45,0.6
a_1,0.48,0.5,0.58,0.52,0.43,1.75,0.6,0.71,0.56,0.56,0.67,0.55,0.74,0.36,0.46,0.59
h_1,0.81,1.1,0.67,0.64,0.57,0.45,1.68,0.73,0.82,0.8,0.92,0.91,0.63,0.83,0.63,0.99
d_0,0.74,0.85,0.33,1.28,0.61,0.55,0.98,1.45,0.74,0.84,0.91,0.87,0.88,0.63,0.72,1.03
g_1,0.73,0.6,0.94,0.71,0.88,0.59,0.83,0.98,1.76,0.76,0.85,1.23,0.95,0.83,0.63,0.48
c_0,0.95,0.93,0.67,0.48,0.7,0.53,0.97,0.93,0.85,1.55,1.38,1.02,0.96,0.83,0.83,0.92
b_0,0.85,1.02,0.74,0.85,0.43,0.58,0.84,0.9,0.86,0.86,1.53,0.89,1.12,1.32,0.77,1.11
f_0,0.75,0.61,0.98,0.78,0.79,0.57,1.05,0.85,0.82,0.87,1.08,1.56,0.82,0.97,1.57,0.86
h_0,0.6,1.08,0.74,0.8,0.88,0.48,0.63,1.01,0.98,1.04,0.97,1.08,0.66,0.79,0.82,1.17
a_0,0.77,1.07,0.97,0.79,0.62,0.41,1.01,1.1,0.9,1.11,0.8,0.92,1.21,1.7,0.87,1.06
e_0,0.4,1.02,0.83,0.94,0.75,0.74,1.24,1.05,0.96,0.97,1.01,0.65,1.13,1.02,1.68,0.98
g_0,0.71,0.76,1.18,1.0,0.68,0.65,0.97,0.83,,0.93,0.9,1.33,0.89,0.72,0.79,0.73
