,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,0.41,0.64,0.55,0.62,0.55,0.51,0.27,0.27,0.35,0.24,0.32,0.26,0.25,0.18,0.25,0.24
e_1,0.44,0.41,0.55,0.75,0.65,0.54,0.33,0.35,0.35,0.27,0.31,0.28,0.27,0.24,0.35,0.24
d_1,0.61,0.68,0.39,0.56,0.57,0.54,0.3,0.31,0.22,0.29,0.27,0.27,0.24,0.21,0.26,0.17
c_1,0.59,0.48,0.75,0.38,0.71,0.57,0.31,0.18,0.33,0.31,0.26,0.25,0.26,0.21,0.24,0.23
b_1,0.67,0.58,0.66,0.41,0.36,0.72,0.33,0.25,0.35,0.32,0.26,0.3,0.27,0.25,0.23,0.25
a_1,0.72,0.63,0.59,0.57,0.36,0.3,0.37,0.3,0.36,0.29,0.27,0.37,0.36,0.24,0.27,0.24
h_1,0.62,0.56,0.54,0.58,0.58,0.5,0.24,0.26,0.31,0.23,0.25,0.24,0.22,0.24,0.23,0.21
d_0,0.57,0.39,0.63,0.67,0.64,0.54,0.33,0.23,0.33,0.27,0.25,0.27,0.25,0.25,0.25,0.23
g_1,0.58,0.54,0.61,0.56,0.58,0.52,0.25,0.26,0.21,0.24,0.26,0.26,0.24,0.19,0.25,0.26
c_0,0.62,0.59,0.4,0.72,0.63,0.46,0.32,0.32,0.3,0.22,0.25,0.29,0.25,0.23,0.26,0.21
f_0,0.68,0.54,0.55,0.55,0.56,0.54,0.33,0.29,0.24,0.24,0.21,0.26,0.24,0.22,0.3,0.15
b_0,0.57,0.54,0.5,0.69,0.74,0.44,0.31,0.27,0.29,0.18,0.24,0.2,0.29,0.24,0.26,0.21
a_0,0.63,0.56,0.54,0.61,0.67,0.52,0.31,0.28,0.28,0.22,0.23,0.16,0.19,0.24,0.26,0.21
h_0,0.6,0.56,0.53,0.56,0.55,0.5,0.34,0.25,0.31,0.24,0.24,0.27,0.22,0.24,0.24,0.23
e_0,0.7,0.55,0.55,0.55,0.55,0.55,0.3,0.23,0.28,0.24,0.17,0.26,0.24,0.22,0.18,0.16
g_0,0.57,0.55,0.59,0.56,0.51,0.57,0.25,0.25,0.3,0.24,0.31,0.27,0.23,0.19,0.26,0.23
