,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.82,0.97,1.16,1.1,0.92,1.0,1.02,0.92,1.3,1.11,1.08,1.05,1.08,1.17,1.07
f_1,1.21,1.0,0.91,0.99,0.95,0.9,0.87,1.03,0.98,1.01,0.93,1.0,0.9,0.81,1.02,0.96
d_1,1.05,1.07,1.0,1.02,0.92,0.9,1.0,0.83,1.22,1.01,1.02,1.07,0.99,1.0,0.87,0.96
c_1,0.84,1.02,1.01,1.0,1.34,1.06,1.01,1.0,0.85,0.74,0.91,0.82,1.01,0.94,0.96,0.98
b_1,0.91,1.05,1.08,0.74,1.0,1.38,1.15,1.17,1.11,0.92,0.99,0.88,1.05,1.11,1.0,0.85
a_1,1.09,1.11,1.11,0.92,0.72,1.0,1.09,1.1,1.05,1.01,1.03,1.13,1.09,0.95,1.05,0.98
h_1,1.02,1.14,1.01,0.98,0.85,0.92,1.0,1.15,0.97,0.98,0.93,0.95,1.06,1.0,1.03,0.95
g_1,1.0,0.96,1.17,0.98,0.85,0.92,0.9,1.0,0.99,1.0,1.27,1.01,0.83,1.01,1.06,1.02
c_0,1.03,1.03,0.85,1.21,0.89,0.92,1.06,1.02,1.0,1.27,1.07,1.34,1.04,1.02,0.95,1.3
d_0,0.79,1.0,0.98,1.34,1.14,0.97,1.03,0.97,0.77,1.0,1.01,0.96,0.97,1.12,1.09,1.07
f_0,0.88,1.09,0.99,1.11,1.03,0.96,1.06,0.79,0.92,1.0,1.0,1.04,1.02,1.4,0.88,0.97
b_0,0.96,1.02,0.93,1.24,1.11,0.9,1.02,1.02,0.76,1.1,0.99,1.0,1.07,1.09,0.98,1.45
h_0,0.95,1.07,1.01,1.02,0.96,0.91,0.98,1.21,0.96,0.99,0.97,0.94,1.0,0.93,1.15,0.95
e_0,0.9,1.28,0.97,1.03,0.88,1.04,1.03,1.0,0.96,0.9,0.74,0.93,1.02,1.0,0.85,0.96
g_0,0.88,0.99,1.14,1.0,1.0,0.93,0.97,0.92,1.02,0.91,1.17,0.97,0.86,1.09,1.0,1.02
a_0,0.93,0.98,1.04,1.09,1.17,1.06,1.04,0.98,0.77,0.98,1.03,0.71,1.01,1.06,1.02,1.0
