,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.24,0.9,0.93,0.74,0.61,0.41,0.48,0.39,0.41,0.39,0.39,0.31,0.24,0.31,0.32
e_1,0.81,1.0,1.0,1.1,0.92,0.72,0.53,0.48,0.38,0.56,0.5,0.42,0.34,0.35,0.34,0.32
d_1,1.11,1.02,1.0,0.84,0.92,0.69,0.5,0.36,0.57,0.38,0.39,0.43,0.33,0.35,0.29,0.24
c_1,1.1,0.91,1.19,1.0,1.39,0.77,0.54,0.52,0.38,0.32,0.4,0.37,0.33,0.35,0.34,0.32
b_1,1.36,1.1,1.09,0.72,1.0,1.0,0.54,0.49,0.56,0.46,0.45,0.44,0.45,0.37,0.35,0.35
a_1,1.6,1.38,1.44,1.3,1.0,1.0,0.8,0.62,0.66,0.61,0.54,0.68,0.51,0.52,0.49,0.47
h_1,2.41,1.93,2.08,1.81,1.86,1.26,1.0,1.02,0.75,0.74,0.84,0.74,0.68,0.62,0.71,0.74
g_1,2.14,2.03,2.62,1.9,2.07,1.59,1.03,1.0,0.9,0.87,1.1,0.84,0.63,0.74,0.73,0.66
c_0,2.53,2.64,1.75,2.6,1.71,1.53,1.28,1.13,1.0,1.3,0.99,1.4,0.84,0.82,0.86,0.72
d_0,2.37,1.83,2.61,3.17,2.23,1.67,1.34,1.15,0.77,1.0,0.93,0.92,0.82,0.95,0.86,0.87
f_0,2.43,2.0,2.68,2.41,2.24,1.88,1.19,0.9,1.06,1.05,1.0,0.98,0.94,1.38,0.86,0.62
b_0,2.55,2.24,2.31,2.72,2.25,1.5,1.32,1.17,0.75,1.08,0.97,1.0,0.93,0.88,1.13,0.79
h_0,3.13,2.97,3.14,2.91,2.21,1.94,1.49,1.62,1.18,1.2,1.1,1.1,1.0,0.87,0.87,0.97
e_0,4.15,2.9,2.83,2.83,2.66,1.97,1.67,1.32,1.17,1.07,0.75,1.17,1.12,1.0,0.99,0.85
a_0,3.31,2.87,3.15,3.12,2.66,1.94,1.42,1.37,1.21,1.27,1.18,0.9,1.2,1.01,1.0,1.01
g_0,3.1,3.15,4.09,3.28,2.73,2.19,1.3,1.55,1.39,1.14,1.57,1.34,1.07,1.17,1.0,1.0
