,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,2.27,0.41,0.2,0.21,0.21,0.16,0.5,0.39,0.57,0.45,0.11,0.41,0.54,0.25,0.36,0.37
e_1,0.26,2.27,0.26,0.19,0.17,0.18,0.39,0.29,0.88,0.44,0.52,0.45,0.56,0.1,0.36,0.52
c_1,0.24,0.21,2.33,0.2,0.4,0.11,0.45,0.37,0.47,0.13,0.47,0.25,0.7,0.46,0.33,0.62
d_1,0.27,0.21,0.19,2.38,0.21,0.1,0.43,0.38,0.14,1.0,0.46,0.45,0.7,0.34,0.3,0.59
b_1,0.22,0.22,0.27,0.19,2.53,0.35,0.44,0.31,0.45,0.4,0.41,0.09,0.52,0.37,0.33,0.46
a_1,0.24,0.26,0.24,0.22,0.17,3.12,0.38,0.38,0.46,0.3,0.51,0.52,0.52,0.53,0.09,0.37
h_1,0.53,0.38,0.43,0.39,0.32,0.28,2.79,0.81,0.77,0.71,0.83,0.68,0.33,0.72,0.47,1.07
g_1,0.37,0.31,0.32,0.65,0.31,0.27,0.58,3.16,0.8,0.74,1.27,0.91,0.73,0.56,0.71,0.36
d_0,0.39,0.43,0.74,0.12,0.32,0.34,0.75,0.63,2.07,0.7,0.9,0.81,0.98,0.67,0.85,0.89
c_0,0.55,0.43,0.19,0.46,0.22,0.27,0.67,0.65,0.95,2.31,0.98,1.65,1.23,0.75,0.81,1.18
f_0,0.13,0.36,0.48,0.51,0.39,0.32,0.59,0.56,0.99,0.87,2.48,0.97,1.13,1.44,0.49,0.86
b_0,0.41,0.44,0.43,0.56,0.09,0.22,0.66,0.7,0.92,0.77,0.66,2.55,1.3,0.55,1.68,0.92
h_0,0.5,0.33,0.41,0.46,0.35,0.24,0.3,0.87,0.89,0.75,0.79,0.79,0.6,0.77,0.88,1.3
e_0,0.52,0.11,0.4,0.46,0.37,0.22,0.68,0.79,0.74,1.09,0.92,1.17,1.04,2.85,0.97,1.14
a_0,0.44,0.38,0.48,0.53,0.29,0.11,0.8,0.64,0.68,0.87,0.72,0.93,1.19,0.62,2.86,0.94
g_0,0.39,0.39,0.34,0.66,0.35,0.26,0.58,0.19,0.69,0.65,1.15,0.84,0.97,0.93,0.55,0.39
