,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.85,2.32,1.25,1.25,1.15,1.05,3.97,5.91,3.95,4.03,5.86,2.91,7.96,6.96,8.99,6.49
e_1,1.34,5.91,1.04,1.86,1.19,1.03,5.02,11.49,4.64,6.63,6.71,6.88,8.27,6.74,9.5,3.02
d_1,1.45,1.22,6.35,0.84,1.23,1.56,4.46,2.57,4.4,11.82,7.55,7.06,11.0,5.78,9.25,6.45
c_1,1.34,1.17,1.18,6.59,2.36,1.29,4.05,5.18,4.96,1.66,4.55,7.1,11.01,6.78,7.96,6.53
b_1,1.21,1.07,1.35,1.47,7.64,2.46,4.27,5.15,4.75,5.28,2.08,6.24,8.56,4.63,9.37,6.54
a_1,1.33,1.24,1.53,1.37,1.13,11.19,5.59,6.16,4.91,6.14,7.78,6.36,9.52,3.41,8.1,5.9
h_1,2.17,1.33,1.56,1.77,1.52,1.39,15.0,7.37,7.76,7.6,6.92,6.4,6.04,6.58,15.62,7.32
d_0,1.69,1.64,0.68,3.07,1.38,1.32,5.87,15.03,4.31,6.53,7.08,9.24,11.27,7.62,13.1,7.67
g_1,1.77,1.31,2.54,1.51,1.34,1.49,5.12,5.39,19.98,6.88,8.0,12.4,10.45,6.25,6.02,7.15
c_0,1.66,1.75,1.93,0.94,0.96,1.49,6.31,7.68,5.01,16.29,17.1,8.43,11.25,10.99,13.27,8.14
b_0,1.68,1.72,1.87,1.55,0.71,1.0,7.34,8.37,6.3,8.49,17.63,9.02,11.25,17.36,12.61,8.49
f_0,0.9,1.38,1.86,1.74,1.74,1.47,6.81,8.54,6.13,8.65,9.88,18.02,12.9,8.3,10.73,15.03
h_0,2.15,1.5,1.73,1.68,1.85,1.49,3.23,6.02,8.99,6.49,8.05,7.63,7.28,7.27,15.38,6.18
a_0,1.83,1.63,1.69,1.61,1.43,0.97,6.0,8.79,6.52,7.32,8.41,9.85,13.54,22.31,10.85,7.2
g_0,1.4,1.28,2.39,1.92,1.59,1.89,5.14,6.84,3.56,6.99,8.81,12.8,11.5,7.72,6.81,7.31
e_0,1.85,0.86,1.82,1.66,1.62,1.54,8.25,6.97,6.14,8.24,9.59,7.78,14.1,7.2,9.5,27.0
