,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,0.96,0.63,0.75,0.49,0.55,0.41,0.41,0.57,0.31,0.33,0.29,0.32,0.32,0.27,0.25,0.31
f_1,0.92,0.96,0.62,0.55,0.49,0.33,0.33,0.42,0.32,0.3,0.26,0.23,0.29,0.27,0.22,0.26
c_1,0.59,0.69,0.96,0.66,0.83,0.42,0.44,0.35,0.27,0.24,0.27,0.28,0.33,0.24,0.27,0.28
d_1,0.76,0.73,0.5,0.96,0.53,0.44,0.43,0.35,0.58,0.41,0.29,0.34,0.36,0.29,0.27,0.28
b_1,0.67,0.77,0.59,0.62,0.95,0.76,0.46,0.44,0.4,0.32,0.3,0.32,0.36,0.27,0.29,0.26
a_1,0.78,0.93,0.75,0.67,0.51,0.94,0.53,0.46,0.52,0.44,0.37,0.35,0.5,0.32,0.33,0.38
h_1,0.99,1.28,0.89,0.93,0.75,0.54,0.79,0.53,0.57,0.5,0.53,0.49,0.43,0.4,0.41,0.5
d_0,0.91,0.99,1.47,0.83,0.92,0.59,0.68,0.76,0.42,0.47,0.49,0.46,0.5,0.41,0.44,0.5
c_0,1.19,1.17,0.94,0.89,0.7,0.63,0.63,0.74,0.75,0.8,0.55,0.54,0.61,0.53,0.42,0.46
b_0,1.18,1.25,1.24,0.92,0.76,0.5,0.74,0.73,0.61,0.74,0.58,0.52,0.59,0.8,0.48,0.55
g_1,1.07,1.16,1.06,1.25,0.88,0.59,0.71,0.59,0.63,0.54,0.79,0.67,0.51,0.48,0.46,0.47
f_0,0.99,1.18,1.14,1.11,0.9,0.73,0.77,0.71,0.66,0.59,0.59,0.74,0.64,0.46,0.8,0.47
h_0,1.19,1.47,1.13,1.16,0.87,0.61,0.72,0.66,0.62,0.61,0.66,0.53,0.56,0.51,0.45,0.64
a_0,1.28,1.27,1.29,1.11,0.87,0.53,0.83,0.79,0.62,0.5,0.59,0.58,0.58,0.69,0.55,0.56
e_0,1.07,1.41,1.09,1.28,1.01,0.74,0.73,0.67,0.75,0.64,0.64,0.49,0.72,0.53,0.69,0.54
g_0,1.12,1.22,1.18,1.48,1.02,0.69,0.75,0.69,0.75,0.59,0.57,0.83,0.6,0.52,0.53,0.51
