,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.89,0.2,0.23,0.13,0.14,0.1,0.14,0.32,0.18,0.12,0.19,0.15,0.17,0.1,0.05,0.12
f_1,0.37,0.89,0.17,0.18,0.11,0.1,0.15,0.16,0.14,0.09,0.14,0.05,0.14,0.1,0.08,0.1
c_1,0.17,0.19,0.89,0.18,0.28,0.09,0.15,0.17,0.05,0.11,0.1,0.13,0.17,0.1,0.09,0.12
d_1,0.17,0.22,0.13,0.89,0.14,0.09,0.17,0.09,0.31,0.15,0.22,0.16,0.17,0.13,0.11,0.15
b_1,0.16,0.21,0.18,0.16,0.88,0.24,0.15,0.15,0.13,0.11,0.03,0.12,0.14,0.07,0.11,0.13
a_1,0.18,0.24,0.22,0.19,0.12,0.87,0.16,0.19,0.18,0.12,0.16,0.14,0.15,0.04,0.09,0.12
h_1,0.22,0.31,0.21,0.22,0.15,0.13,0.55,0.19,0.19,0.21,0.15,0.17,0.1,0.13,0.14,0.2
d_0,0.23,0.22,0.46,0.11,0.16,0.13,0.19,0.41,0.15,0.13,0.22,0.18,0.21,0.13,0.12,0.15
c_0,0.26,0.23,0.15,0.29,0.11,0.15,0.18,0.25,0.41,0.16,0.38,0.18,0.2,0.14,0.12,0.19
g_1,0.19,0.17,0.22,0.34,0.17,0.12,0.2,0.19,0.19,0.56,0.18,0.31,0.16,0.15,0.14,0.09
b_0,0.28,0.24,0.25,0.25,0.09,0.11,0.21,0.26,0.19,0.15,0.42,0.17,0.22,0.25,0.11,0.19
f_0,0.2,0.11,0.27,0.21,0.21,0.16,0.23,0.24,0.22,0.18,0.19,0.43,0.19,0.15,0.24,0.18
h_0,0.21,0.33,0.24,0.24,0.2,0.11,0.13,0.26,0.2,0.19,0.2,0.15,0.13,0.13,0.12,0.21
a_0,0.28,0.23,0.24,0.23,0.14,0.07,0.22,0.25,0.22,0.19,0.2,0.23,0.23,0.38,0.12,0.17
e_0,0.14,0.29,0.22,0.28,0.17,0.15,0.23,0.24,0.2,0.19,0.21,0.19,0.2,0.18,0.36,0.15
g_0,0.21,0.2,0.22,0.41,0.17,0.11,0.2,0.17,0.19,0.09,0.18,0.26,0.21,0.13,0.15,0.12
