,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.49,0.51,0.66,0.39,0.43,0.36,0.5,0.48,0.56,0.51,0.59,0.24,0.45,0.52,0.4,0.49
c_1,0.47,1.52,0.43,0.77,0.52,0.38,0.43,0.56,0.17,0.5,0.34,0.41,0.38,0.6,0.41,0.58
e_1,0.48,0.54,1.53,0.46,0.36,0.36,0.62,0.94,0.57,0.47,0.58,0.46,0.42,0.59,0.18,0.57
b_1,0.56,0.41,0.46,1.55,0.47,0.6,0.56,0.52,0.54,0.56,0.23,0.53,0.44,0.5,0.52,0.5
d_1,0.49,0.29,0.54,0.47,1.57,0.4,0.5,0.37,0.96,0.43,0.63,0.68,0.6,0.63,0.49,0.48
a_1,0.57,0.49,0.46,0.4,0.62,1.72,0.64,0.52,0.55,0.49,0.61,0.6,0.36,0.55,0.53,0.64
h_1,0.93,0.87,0.71,0.58,0.79,0.53,1.71,0.87,0.84,0.98,0.87,0.76,0.69,0.71,0.55,0.98
d_0,0.85,1.35,0.62,0.65,0.39,0.58,0.81,1.47,0.75,0.71,0.64,0.8,0.68,0.93,0.82,0.83
c_0,0.95,0.68,0.76,0.65,0.61,0.73,0.98,0.98,1.54,0.81,1.44,0.9,0.99,1.07,0.76,0.9
g_1,0.74,0.83,0.7,0.64,1.09,0.58,0.61,0.88,0.9,1.78,0.83,1.05,0.77,0.93,0.67,0.56
b_0,0.85,1.01,0.75,0.53,0.8,0.57,0.81,1.24,0.83,0.88,1.59,0.9,1.42,1.04,0.81,1.19
f_0,0.54,1.09,0.75,0.76,0.73,0.64,0.99,1.07,0.97,0.8,1.04,1.62,0.71,0.95,1.21,0.8
a_0,1.09,0.75,0.9,0.77,0.75,0.32,0.93,1.05,0.86,0.79,0.73,0.99,1.69,1.2,0.91,0.81
h_0,1.15,0.9,0.68,0.81,0.68,0.67,0.4,1.11,0.8,0.87,0.91,0.9,0.76,0.62,0.8,0.94
e_0,1.0,0.89,0.45,0.84,0.94,0.76,1.22,0.89,0.97,0.93,0.83,0.88,0.67,1.06,1.69,1.17
g_0,0.81,0.8,0.75,0.8,1.14,0.68,0.94,1.05,0.93,0.48,0.81,1.41,0.8,1.05,0.89,0.64
