,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,91.84,18.51,14.09,21.45,28.11,49.74,1932.19,4233.69,4895.62,4677.4,12703.25,,31319.03,23406.95,20851.13,48756.81
e_1,8.43,99.76,17.08,18.54,27.06,95.05,1918.93,5341.17,4139.29,5832.89,7108.98,14801.22,25316.13,,28622.36,60877.72
d_1,9.81,10.61,125.25,14.19,24.77,86.58,1532.5,,2968.76,7723.72,9443.39,13512.36,27244.0,26739.96,32756.37,38965.02
c_1,9.73,9.68,14.07,144.79,33.91,82.72,1688.31,3293.59,2189.3,,8346.03,15171.36,34572.23,21784.65,21887.35,38839.38
b_1,8.72,11.83,11.48,13.11,216.91,,1400.44,3089.04,2924.77,2788.32,,8214.06,17538.5,,,34803.69
a_1,6.82,5.29,9.03,7.84,,502.96,675.72,2609.41,,3273.04,5259.63,10169.19,16324.81,,,40020.94
h_1,6.29,4.44,8.05,6.76,11.37,43.21,2826.28,1755.94,2759.96,2212.77,3648.09,5388.18,,13306.67,10784.22,35326.2
d_0,5.51,5.11,,13.64,10.16,24.81,690.09,4048.68,1156.45,1799.59,3843.86,5634.14,11798.19,10812.32,11243.76,29500.44
g_1,2.99,3.34,7.07,8.1,11.47,,374.26,1468.47,5390.01,1671.52,4109.71,7623.58,9272.91,10624.43,8919.03,
c_0,4.34,3.73,4.41,,12.57,21.93,836.27,1300.99,1484.56,4942.91,5879.97,5512.29,13569.01,11404.62,11129.77,29864.72
b_0,2.17,4.5,5.02,4.9,,20.7,661.53,1147.62,1347.61,1364.05,8412.66,5827.51,9880.36,10433.9,14327.82,13175.48
f_0,,3.03,4.78,4.4,12.5,18.21,485.93,1222.62,895.5,1378.54,2584.05,11608.4,7666.21,13394.23,6673.67,12330.38
h_0,3.55,3.5,3.6,3.8,9.6,27.98,,1261.92,1057.53,1392.19,3061.46,3836.56,,9360.03,9756.21,16961.8
e_0,2.46,,3.23,3.42,,,473.43,1156.14,954.85,1137.04,1927.43,3194.49,6322.45,20350.81,,
a_0,2.71,1.99,3.12,4.33,,,544.74,841.59,976.36,1109.64,1734.07,3869.9,5087.06,,20350.81,12587.9
g_0,2.22,2.16,5.57,4.64,9.93,15.63,312.99,706.03,,737.07,2776.2,5121.14,5171.03,,7298.57,
