,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.41,0.5,0.98,1.22,0.93,0.95,0.61,0.5,0.52,0.36,0.49,0.47,0.37,0.63,0.35,0.42
f_1,1.03,0.4,0.75,0.88,0.9,0.67,0.36,0.44,0.5,0.39,0.58,0.31,0.27,0.31,0.43,0.36
d_1,0.97,1.0,0.39,0.88,0.84,0.79,0.45,0.59,0.36,0.43,0.38,0.44,0.33,0.43,0.37,0.22
c_1,0.66,1.14,1.02,0.39,1.02,0.84,0.44,0.25,0.43,0.52,0.37,0.36,0.34,0.36,0.34,0.37
b_1,0.89,1.08,0.87,0.51,0.37,1.22,0.5,0.42,0.48,0.52,0.37,0.74,0.38,0.41,0.4,0.36
a_1,0.9,1.1,0.95,0.93,0.5,0.31,0.54,0.47,0.52,0.41,0.35,0.6,0.37,0.46,0.72,0.38
h_1,0.71,0.88,0.78,0.75,0.8,0.8,0.25,0.34,0.47,0.35,0.37,0.33,0.33,0.33,0.3,0.34
d_0,0.48,0.81,1.15,0.94,0.82,0.76,0.46,0.27,0.52,0.31,0.39,0.37,0.29,0.37,0.39,0.33
g_1,0.82,0.82,0.81,0.89,0.92,0.76,0.32,0.32,0.23,0.38,0.41,0.3,0.23,0.31,0.31,0.37
c_0,0.85,0.72,0.49,1.38,0.72,1.13,0.47,0.49,0.46,0.25,0.4,0.4,0.29,0.33,0.32,0.28
f_0,0.67,1.14,0.83,0.83,0.78,0.8,0.43,0.33,0.31,0.34,0.24,0.37,0.28,0.44,0.38,0.2
b_0,0.65,0.83,0.67,1.09,0.95,0.7,0.4,0.3,0.5,0.22,0.34,0.23,0.3,0.4,0.4,0.31
h_0,0.79,0.78,0.8,0.76,0.7,0.62,0.56,0.36,0.47,0.35,0.38,0.38,0.37,0.29,0.35,0.31
e_0,0.85,1.08,0.74,0.83,0.67,0.66,0.45,0.36,0.44,0.38,0.2,0.3,0.33,0.2,0.41,0.29
a_0,0.85,0.68,0.85,0.95,0.99,0.79,0.39,0.33,0.44,0.36,0.3,0.2,0.34,0.25,0.21,0.25
g_0,0.77,0.85,0.9,0.74,0.75,0.8,0.3,0.34,0.56,0.35,0.4,0.32,0.25,0.31,0.36,0.37
