,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.13,2.66,5.11,4.59,6.14,5.82,1.54,0.94,1.03,0.79,1.61,1.32,0.78,0.95,2.25,1.12
f_1,4.19,1.12,5.21,4.6,4.47,4.16,0.94,1.14,0.83,0.95,1.31,1.7,0.56,1.04,0.79,0.84
c_1,4.24,5.67,1.13,8.79,5.03,5.02,1.46,0.59,2.75,1.22,1.61,1.09,0.71,1.02,1.21,0.72
d_1,7.03,6.3,5.57,1.13,5.69,5.75,1.65,3.63,1.08,1.41,1.15,1.08,0.81,1.22,1.0,0.51
b_1,6.85,7.18,3.5,7.2,1.14,7.42,2.33,1.86,1.51,4.3,2.25,1.91,1.41,1.71,1.29,0.86
a_1,11.53,13.06,9.67,8.86,4.71,1.14,2.85,2.93,2.54,2.84,3.07,1.83,1.4,5.07,1.99,1.82
h_1,17.32,21.79,15.99,17.47,20.11,17.16,1.81,3.74,3.61,3.53,4.1,3.56,4.32,3.77,3.71,2.6
d_0,11.2,22.29,21.38,47.85,19.96,20.67,7.44,2.33,4.43,4.13,8.4,3.96,3.61,3.85,5.97,3.62
c_0,27.84,28.1,72.98,12.44,26.18,19.03,7.18,6.61,2.37,4.53,5.42,4.88,3.23,4.33,5.06,2.93
b_0,23.76,34.62,46.62,22.37,51.39,24.96,7.44,5.7,3.32,2.36,7.3,5.67,4.27,5.35,6.17,4.54
g_1,32.21,34.32,34.97,23.38,40.22,31.51,6.54,6.43,5.42,5.45,1.87,4.54,2.63,4.43,4.55,8.05
f_0,29.75,70.51,39.96,27.04,30.16,28.26,8.38,6.8,5.89,6.48,5.79,2.24,4.27,5.92,6.17,2.5
h_0,34.18,39.57,40.45,31.73,36.51,26.33,20.1,7.77,6.9,7.42,11.45,6.2,7.78,7.26,6.07,4.81
a_0,35.11,33.72,53.29,34.18,51.39,73.92,13.63,9.06,6.46,3.56,9.0,9.37,5.67,2.57,7.14,5.65
e_0,72.17,52.41,36.49,36.16,39.64,31.0,10.44,9.06,7.4,9.14,9.88,3.7,5.59,8.19,2.58,5.28
g_0,45.31,51.03,47.28,36.59,52.36,42.71,10.31,8.95,9.2,7.76,21.0,8.35,4.84,8.19,8.09,8.7
