,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.9,0.25,0.24,0.19,0.15,0.16,0.16,0.13,0.33,0.19,0.18,0.14,0.13,0.17,0.06,0.17
f_1,0.42,0.89,0.22,0.18,0.16,0.11,0.14,0.14,0.19,0.19,0.18,0.06,0.11,0.19,0.1,0.13
c_1,0.19,0.2,0.89,0.18,0.34,0.12,0.19,0.15,0.19,0.15,0.06,0.19,0.14,0.18,0.11,0.17
d_1,0.19,0.21,0.18,0.9,0.18,0.14,0.23,0.19,0.12,0.25,0.35,0.18,0.13,0.16,0.14,0.14
b_1,0.22,0.22,0.19,0.19,0.89,0.28,0.2,0.13,0.17,0.08,0.18,0.14,0.09,0.21,0.11,0.16
a_1,0.22,0.23,0.21,0.23,0.17,0.88,0.26,0.17,0.18,0.19,0.17,0.14,0.08,0.21,0.11,0.15
h_1,0.26,0.4,0.21,0.26,0.24,0.13,0.59,0.27,0.22,0.23,0.23,0.17,0.16,0.16,0.17,0.24
g_1,0.24,0.23,0.25,0.4,0.2,0.12,0.23,0.57,0.19,0.23,0.21,0.31,0.13,0.21,0.19,0.12
d_0,0.26,0.28,0.48,0.14,0.24,0.15,0.22,0.17,0.44,0.25,0.16,0.18,0.16,0.25,0.15,0.17
b_0,0.28,0.26,0.26,0.3,0.1,0.14,0.24,0.2,0.21,0.49,0.29,0.23,0.38,0.27,0.17,0.2
c_0,0.31,0.29,0.17,0.28,0.16,0.18,0.24,0.19,0.26,0.48,0.45,0.22,0.19,0.25,0.17,0.19
f_0,0.24,0.17,0.29,0.27,0.28,0.15,0.24,0.21,0.23,0.27,0.22,0.47,0.21,0.26,0.35,0.19
a_0,0.27,0.29,0.25,0.3,0.24,0.1,0.22,0.19,0.25,0.26,0.24,0.19,0.41,0.31,0.17,0.26
h_0,0.29,0.4,0.26,0.28,0.19,0.15,0.15,0.26,0.2,0.22,0.21,0.2,0.18,0.15,0.13,0.22
e_0,0.21,0.31,0.29,0.25,0.2,0.12,0.23,0.19,0.23,0.27,0.24,0.24,0.22,0.27,0.4,0.24
g_0,0.3,0.21,0.24,0.43,0.19,0.14,0.2,0.11,0.21,0.29,0.22,0.33,0.18,0.21,0.16,0.15
