,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,15.01,0.62,0.51,0.73,0.56,0.52,0.97,0.84,1.9,0.69,0.92,0.93,0.91,0.79,0.84,0.66
f_1,1.3,15.33,0.48,0.54,0.41,0.49,0.85,0.8,0.95,0.9,0.96,0.4,0.75,0.77,0.76,0.71
d_1,0.47,0.62,18.88,0.37,0.59,0.56,0.91,1.0,0.43,2.19,1.15,1.09,1.13,0.98,0.96,0.94
c_1,0.51,0.51,0.61,16.85,1.21,0.58,0.81,0.82,0.78,0.4,0.56,0.78,0.96,0.95,1.03,0.85
b_1,0.49,0.55,0.59,0.58,18.96,1.23,0.67,0.67,0.87,0.97,0.48,0.95,1.05,0.97,0.76,1.06
a_1,0.51,0.6,0.51,0.67,0.61,28.67,1.0,1.03,0.82,0.61,1.02,0.94,1.03,0.92,0.51,0.97
h_1,0.6,1.03,0.81,0.75,0.63,0.58,4.88,1.63,0.89,1.07,1.26,1.52,0.75,1.84,1.29,1.38
g_1,0.62,0.62,1.48,0.73,0.54,0.59,1.16,5.97,0.71,1.22,1.18,2.45,1.11,0.8,1.33,1.34
d_0,0.66,0.83,0.38,2.07,0.73,0.62,1.08,1.08,2.75,0.75,1.25,1.39,1.26,1.18,1.19,1.31
c_0,0.82,0.68,0.92,0.49,0.5,0.75,1.43,1.27,1.31,3.34,3.57,1.44,1.16,1.65,1.64,1.15
b_0,0.63,0.91,0.93,0.87,0.48,0.61,1.34,1.15,1.15,1.03,3.69,1.17,1.35,1.58,3.35,1.28
f_0,0.48,0.43,0.93,0.86,0.74,0.9,1.04,1.27,1.18,1.44,1.33,3.79,1.44,1.77,1.55,3.62
h_0,0.67,1.53,0.74,0.73,0.6,0.66,0.78,1.57,1.07,1.1,1.11,1.0,0.85,1.76,1.25,1.12
g_0,0.55,0.63,1.69,0.79,0.69,0.68,1.1,0.67,0.95,0.92,1.2,2.07,1.27,0.77,0.91,0.97
a_0,0.71,0.89,0.68,0.88,0.7,0.45,1.3,1.03,1.22,1.52,1.44,1.33,1.65,1.31,4.69,1.07
e_0,0.27,0.73,0.9,0.97,0.75,0.8,1.62,1.22,1.18,1.29,1.4,1.54,1.32,1.57,1.32,4.73
