,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.15,49.84,77.98,92.25,77.24,62.09,22.48,17.0,24.74,16.0,16.32,19.11,13.12,15.04,,15.4
f_1,67.22,1.15,90.29,114.52,102.07,85.38,15.14,16.19,19.65,16.94,20.56,,8.49,19.22,19.47,16.21
c_1,64.86,79.3,1.15,123.0,98.55,102.45,26.5,9.07,31.81,,20.56,21.5,10.82,16.48,13.79,14.0
d_1,112.03,94.3,83.68,1.15,89.31,102.45,23.19,,19.09,17.45,15.0,13.95,14.93,18.21,19.47,7.51
b_1,194.58,124.61,63.54,77.23,1.15,157.62,30.92,18.38,26.72,19.2,,22.43,15.46,24.71,22.07,11.0
a_1,231.06,109.03,163.38,166.05,81.66,1.16,41.22,29.57,47.71,41.14,30.83,36.86,24.06,,19.47,19.25
h_1,99.92,112.55,118.31,81.0,129.91,89.09,2.0,17.89,27.83,16.94,24.13,24.57,,26.62,,17.11
d_0,48.64,81.14,85.78,,98.55,102.45,24.73,3.19,30.36,24.0,15.86,14.33,10.07,13.31,14.39,15.4
g_1,123.23,129.22,122.54,107.13,150.42,146.36,18.55,30.91,2.0,28.8,23.12,28.67,10.82,,30.09,
c_0,136.93,105.73,,49.57,114.32,113.83,23.94,21.94,23.86,3.22,23.12,24.57,12.74,,17.42,14.0
b_0,136.93,112.55,127.07,138.38,,85.38,46.38,18.38,22.27,9.44,2.98,19.11,20.62,,23.64,15.4
f_0,123.23,,118.31,132.84,114.32,146.36,30.92,23.45,25.69,21.33,22.2,2.93,13.97,,,11.0
h_0,102.69,87.22,79.79,85.15,77.24,89.09,,23.45,29.04,15.16,17.9,18.43,,17.3,16.55,11.85
a_0,184.85,218.06,180.58,174.79,168.12,,57.08,27.2,,,,,21.65,3.09,,23.69
e_0,,249.21,155.95,184.5,142.9,186.27,,37.78,60.73,41.14,32.65,,25.47,,3.21,20.53
g_0,123.23,174.45,149.17,138.38,109.92,107.84,26.5,32.38,,26.18,34.69,24.57,15.46,28.83,18.39,
