,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.42,0.64,1.17,0.61,0.57,0.55,0.8,0.76,0.86,0.87,0.8,0.43,0.88,0.84,0.67,0.73
d_1,0.71,2.65,0.6,0.57,0.58,0.61,0.95,0.94,1.72,0.41,1.22,0.91,0.94,0.98,1.07,0.9
e_1,0.77,0.53,2.63,0.74,0.62,0.58,0.88,0.92,0.9,1.75,1.11,0.95,1.0,0.97,0.55,1.07
c_1,0.62,0.6,0.54,2.96,1.27,0.65,0.76,0.81,0.39,0.94,0.71,1.08,0.92,0.88,0.98,1.08
b_1,0.64,0.74,0.59,0.66,3.25,1.2,0.97,0.72,0.84,1.03,0.34,0.96,0.91,0.92,0.92,0.98
a_1,0.67,0.78,0.61,0.69,0.57,4.48,0.83,1.06,0.88,0.78,1.07,1.09,1.22,0.43,1.0,0.85
h_1,1.08,0.87,0.66,0.88,0.67,0.63,2.84,1.55,0.92,0.93,0.91,1.17,0.85,0.99,1.22,1.56
g_1,0.65,1.29,0.69,0.87,0.66,0.64,1.19,3.2,1.0,0.84,1.02,1.74,1.11,1.29,1.23,0.8
c_0,0.94,0.91,0.76,0.53,0.57,0.86,1.23,1.17,2.17,0.9,2.28,1.09,1.27,1.4,1.21,1.33
d_0,0.85,0.43,0.77,1.64,0.8,0.73,1.1,1.02,0.61,2.17,1.01,1.2,1.13,1.07,1.16,1.04
b_0,0.86,0.77,0.84,0.82,0.6,0.63,1.24,1.3,1.13,1.16,2.38,1.09,1.15,2.52,1.24,1.23
f_0,0.55,1.01,0.67,0.93,0.73,0.74,1.39,1.16,1.19,0.88,1.32,2.62,1.49,1.25,2.63,1.28
h_0,1.11,0.89,0.78,0.79,0.81,0.72,0.74,1.51,0.93,0.98,1.19,1.11,0.82,1.1,1.21,1.61
a_0,0.91,0.82,0.82,0.81,0.76,0.4,1.43,1.02,1.27,1.1,1.24,1.36,1.46,2.99,1.35,1.35
e_0,0.91,0.93,0.44,0.96,0.86,0.75,1.34,1.16,1.15,0.97,1.27,1.3,1.05,0.99,3.45,1.21
g_0,0.71,1.42,0.49,0.7,0.76,0.77,1.27,0.76,1.25,0.83,1.18,1.85,1.17,1.26,1.35,0.78
